reviewer_name,review_title,review
Dr Pradeep Kumar Sharma,Nice product at this price,"Very good product with high efficiency. Window is not genuine.
Had some issue of battery which was resolved after very good guidance from helpline if New Jaisa.
Customer care of New Jaisa is excellent"
,"Looks stunning and working fine, Service & support is also good.","Looks stunning and working fine, found to be okay. But working only when connected to AC power and not working @battery. So escalated to their support team. Within two days, they sent their engineer for addressing the issue.

Received a brand new battery after a couple of days thro courier and issue was resolved.

Good going so far.. Kudos to their support."
Vijay,Good product,In nice condition. Immensely grateful
,Good,Product is in nice quality
Amazon Customer,It is in really good condition,It is in good working condition and like new only. So far there is no issue in working with laptop.
Badri,Good,Faster
Neeraj,Satisfying Product. Works well.,"Bought the item before one week. Within three(after order) days, received the product. It is working fine still now, no problem.

Due to the inefficiency of the application provided by the supplier(New Jaisa) warranty registration is not done. Please provide some useful links or way to complete the needed warranty registration.
It is better to give feedback about the product after the completion of warranty registration.

Thanks New Jaisa"
,easy to use,"used first time, I think good"
fr James Mulanjananikkara,Product specification are correct,We have received the product in good condition; Product specification was same as described in the order.
Abdul Rasheed,Good,Good product like a brand new condition
Newar Ben,Good buy but....,"I just received this piece and I was just amazed with it. The laptop looks brand new and everything is functioning well. However, the screen flickers to dark screen whenever I plug on or off the power cable. I don't know if this is normal or if it's just a faulty piece."
Vikram from Anantapur(AP),Refurbished i5 7th gen thinkpad,"It's a good buy, we can relay on Newjaisa without any hesitation."
,"Spotless from outside, multiple issues from inside","Ordered this cuz I wanted an upgrade to my i5 gen7 chipset for which I was happy to see this from outside. But reality hits you hard when you actually know something from inside. You'll realise within few hours of its usage that It's filled with plethora of problems ranging from disfunctional LAN for transmission and connectivity. Your screen flickers when you hover your cursor over the thumbnail of a video on YouTube. Issue with its fingerprint reader. And after a full charge, it's battery drops from 95% to 20% within 30 minutes. I've come across all of these nitty gritty problems within 1 hour of its usage. Honestly I would've found multiple other problems if I'd used it for longer. Requested for an exchange within 24 hours of its delivery, then due to its operational delay, had to opt for just a return to the seller."
Kamal Mehra,Seems worth it..,"For the amount I paid, it seems good value for money. Only issue seems to be battery which I am not sure will last for long. Also their warranty activation software provided on the system doesn't work effectively, got my warranty activated on call.. All in all, seems worth the money for the purpose I intend to use it for."
Rohan Sachdeo,Nice Product,Thanks New jasia I buy laptop very good look like new working perfectly iam satisfied
Pandiyan,Lenovo refurbished Think Pad,"Nice product in good shape very well packed on time delivery, Product is working fine and its look like new product"
Neeraj Verma,excellent,Nothing Bad.everything is good
Dnyaneshwar,Good,Very good
Placeholder,Battery issue.,I was well aware of the fact that this is a refurbished laptop so was not expecting it to be brand new either but wasn't expecting the battery to be in this bad condition. The battery drains from 100% to 0 in less than 10 minutes. I have to keep the charger plugged in at all times. Couldn't get the joy of working on this laptop while being a little away from a charging plug.
,Product and service are state of the art,Product and service are state of the art
Amardeep Singh,Looks like new one,"Mine is Lenvovo thinkpad with i5 7th gen processor and 8 gb ram. No scratch and so far battery backup is also. The seller is also giving 6 months warranty also. Doesnt look and feel like , it is an old one.
Will update my feedback , once I use it for bit longer time, but I feel there wont be any issue.Got it in 18k which is much cheaper than what local stores in my area."
Afreed,good product,worth buying
Akshay gautam,Wonderful Product,"The Laptop is in a really good condition. And the customer support of NewJaisa is all very Good.
Highly recommended."
Placeholder,Amazing refurbished laptops bilkul new jaisa,"I have tested and using the product from last 15 days and it is working without any issues, superb physical condition as well
Refurbished laptops could save the environment and quite suitable for routine work also will big savings on your pocket"
DR.ANOOP PRATHEESH P,Good laptop,good
mritunjay,Very good refurbished artfully from NewJaisa,"Everything is very good matching expectations just battery backup was not good initially (only 30 min), later after some charge discharge cycles, it started proving 1.5 hrs bacup which is good as refurbished laptop.
Scheduled technician visit for chrcking battery issue but he asked to check via servify which reported battery as ok and no help provided. Anyhow as battery backup increased later, I am happy with my decision."
,Good for normal work!,"Excellent confg. For work.
Product is free from any defect."
Arshad,Charger stopped working,Laptop charger stopped working less than a month after purchase. Battery backup is below average. Now I need to spend money additionally to get a new charger. No response from seller.
Sivakumar Thiagarajan,Product is good,"It is good, battery backup good."
Shyam,product is good,I am happy with the system and system is working fine and i am glad to purchase the laptop from newjaisa tech
Ankit Kumar,Ankit Jaiwal,"Best laptop over all. 👍 Battery backup 3 hrs , performance is very good.
6 month warranty.
Remaining review after 6 month😎"
Veeru,Keyboard and Camera is poor,Camera quality is very bad. Full laptop looks like panting has been done. Mouse surface is very rough.
,Battery backup and laptop is good,Battery backup is almost 3hrs
S,Works well.,Post 2 days of usage: The laptop works well and is a good buy at this price. Good to have if you are looking for a home lab or as a study tool for children.
Placeholder,Excellent condition as mentioned in product,"My review after using it for more than a week:
Display is good
Battery back up is good
System is smooth
Body is good
Fingerprint sensor is working
Web cam and mic is good
Souund is good
Overall product is excellent 👌👌
Go for it.👍👍"
Abhinay,Feedback on product,Product is good. Support system is also quite remarkable. Satisfied.
,Fantastic product from NewJaisa team,Delivery is bit late but overall very satisfied with product. Got same specifications as mentioned & as of now no issues faced. Performance is very good even though a refurbished. Hence Thanks team NJ for delivering great product. in future hoping for a good customer support from Newjaisa
Uday,Good Product,The product is in good condition. Laptop is looking like a new piece only.
SHIRISH,Good product,As told in description.. i loved it..
Abhishek Sharma,Very nice leptop,"Very good condition this Lenovo leptop,
Best 👍looking new I am very happy this purchase on Amazon

Thanks so much giving me a best product like new jaisa 🙏
Your customer service support is very nice work , again thanks 🙏😊new jaisa team"
