reviewer_name,review_title,review
Good for meditation.,Importent for study.,Excellent product.
Placeholder,Super Product,"This a good budget laptop. The laptop starts up really quick with 2-3 secs. However, if you wish to run some basic office related apps such as MS Team"
,IT'S PERFECTLY FINE,"if you looking to a laptop under 35k, this one is for you. I received cute fresh box containing my laptop in it. Talking about laptop it's awesome, although performance good not excellent but overall laptop is perfectly fine."
SHAKIR MUQADUS WANI,Poor Quality product sold in sale.,"I have bitter experience with ASUS Vivo Book 15. Problem started within 8 months of purchase, ASUS Vivo Book 15 stop functioning from June 2023, service center team failed to identify issue in first visit and took nearly 3 months to resolve the issue. Issue identified as dysfunctional of motherboard. This was the period under guarantee. After 16 months of purchase, in Feb 2024 Battery became dysfunctional and the ASUS Vivo Book 15 given to service center for repairing. I have taken 1-year extended warranty/ guarantee, but battery is not covered in that. I think company knows that the battery becomes dysfunctional within 2 years that's why they did not covered under warranty/ guarantee scheme. I advise buyers of this product to think twice before making purchase decision. I will never buy any ASUS product in future. In fact, I am planning to take up the matter with consumer court as this is clear case of cheating the customer."
Rawat,So beautiful,Very very beautiful
Ankush raje,Amar Singh,"Looks good, handy and fast, elegant screen
Useful for students"
Amar,Very nice product,"Product is very good, But Microsoft office doesn't include"
,Good,Good
Just wow 👍,Awesome,Awesome
,Nice,Nice
Ramjan ALI,Nice product,Valued the cost
ATUL Thakur,White elephant,Attractive design but processing speed is low
,Good Product,Good Product
Pravin,Software,Bar bar sofeware buy karo ya update Karo. Baki display colour quality good
RAJESH RAWANI,A uttar pradesh vlogs buy asus vivobook 15,"Laptop prosser good 👍 value for money Laptop bettary 4 hurs on time Laptop speed slow
Products power full ✨️"
Ajeet yadav,The reason for buying it the fringer print sensor but after 1month it is not working..,Battery life is good but the touching pad and fingerprint sensor are very bad
,Good product,Good product normally used ok
Sushil K.,Nice product,"I expected that it wud be sleeky but it is heavy but works fine and look wise also better
Key board is asset to this product very nice and soft to use unlike other Asus products"
,Quality,Doston mai btana chahta jo bhi yeh laptop lene k soch rhe hai please 4/256 gb wala mat lena.... Bahut bekar hai 8/512gb usko le skte ho agar apko Normal work krna ho pdhai ya online classes leni ya editing ya coding wagera toh yeh acha laptop hai....
MALLESH.MK,Budget Laptop,"I like this product, because it's fitting on my budget

Pro's - NA
Con's - NA

Iam not discussing any pro's & con's because this is modarate processor laptop

This not for Heavy/gaming users
If he/she work is normal means goo for it
It is best fitting budget under 30K

Hence I didn't get any GST invoice, if Amazon see this review means plz share me the GST invoice copy because money is money"
Priti,Don't buy for 4/225ssd it's very slow process nd better back up is not good worst laptop.,Don't buy for 4/225ssd it's very slow process nd better back up is not good worst laptop.
,Do not buy This product in Amazon Fraud Totally,I took a laptop in Amazon I tooking July month 2023 and I was using only for 2 month It's was getting an issue touchpad was not working again charging issue and again screen issue the new laptop it is only it was only 3 month old then only I am getting so many problems okay so the contact to the brand they give they came three times for do step service then also same Issue so I am getting contact to the Amazon the people said sorry we can't respond for this you should climb the warranty I asked them refund it was only 5 months till now they deniled me saying that only we can sell the product we can give assurance for that please do not buy any product in Amazon like electronics item is totally used product not buy this laptop also over is checking the Message
Satish Kumar M,Best product,Awesome 👌
,Nice product,"Nice product, delivery very quick, thank you amazone under 25k it's amazing at this price. But after a week display glitching in excel, and word."
Placeholder,Amazon best seller of the world,
,4+255,Value for money battery life 3h
Placeholder,Good for normal work in this price range,Good product for normal work. Not gaming laptop.In this price range very good laptop.
Shubham Mishra,Worthy,"This laptop is the best in this price range. I would highly recommend this if you are a student or working. Battery backup is pretty good too
But i find something odd about the charging port"
,Good,Good product
manoyar laskar,Processor,i3 bol kr celeron ka processor bhej diya
Price worthy,Price worthy,Really price worthy
Shobhit,Display is not good,Screen quality is bad
Abhishek Kumar,Price worthy,"Laptop looks is good but it takes 10 second above to start
According to price this is good for study"
Satyaki Bose,Very good budget laptop,"This a good budget laptop.
The laptop starts up really quick with 2-3 secs.
However, if you wish to run some basic office related apps such as MS Teams, or watch youtube videos with 4k resolution, I would recommend upgrading the RAM to additional 4GB.
Otherwise its a really good value for money.

Just a couple of moree suggestions:
1. remove the additional keypads from the right side.
2. add a backlit keyboard."
Ranjan kumar sahoo,Nice product,Like product
Deepu kumar,Good very nice,Good work day very nice
Amazon Customer,Charging issue,After just four and half months the battery is not charging.
KNKRISHNAN,Very Nice product,I like in all aspects of packing and delivery of the product
viswanathan,No better performance,I feel worst in performance... Sometimes it getting hang.. even I'm trying to open browser it getting slow... Not worth for this cost 😔
Placeholder,Bed quality,Hanging
