reviewer_name,review_title,review
UFxKevin,Value For Money,"I have recently bought the Asus Vivobook 16 and I must say it's a very good budget laptop for daily basic usage and especially for a student like me. It's Intel i3 1215u processor handles basic tasks like PPT presentation Excel and net surfing very easily. It also has a decent display of 16 inches to watch movies and videos on.
It also offers a fingerprint scanner which is a very good thing in a budget laptop. One thing which I think is missing is the backlit keyboard at this price point otherwise the laptop is very nice and I would recommend you to buy it for daily usage and basic gaming ( Not heavy games like pubg gta v etc)"
,"Battery, Screen, Resolution, Performance all top level","This laptop is best choice under 40k...if you have knowledge of using laptops.

I bought it for 34,990 under Great Indian Festive Sale.If you're smart enough, this is best budget laptop that you can buy.The screen shows a little bit negative images which again doesn't matter as long as you're not looking at it from a weird angle.

Doesn't have backlit and thats good because it saves a lot of battery 🔋.
Battery is soo good. In watching 4k video for 1 hour it drains only 20%.
The product is genuine.

If you want better experience just buy a wireless keyboard AND a 65 watt power bank cause that's the only thing which feels cheap but only OCCASIONALLY!!!!!!
Build quality is more than enough. Not like those overrated honor or mi laptops. It has plastic but the quality is actually nice.

If you are smart enough, buy this laptop and a seperate monitor with the money that you save and all your cons just turns into pros.....

Go for this laptop its good ,its fast , its reliable.
I did my research before buying it and believe me its really satisfying laptop.

And last thing i have i3-1220p with blue color and its not distinguishable from black colour if not under strong light.

The processor is better than 11th gen i5 and 13th gen i3."
Mayank Sharma,Awesome Laptop!,"The sleek design, powerful performance, good display, and good battery backup make it a standout choice. The high-quality build and innovative features truly elevate the user experience. A solid 5-star rating for this outstanding device!"
,Bad quality from asus,"I had trust on asus thats why i had purchased this laptop. But I have to visit service center 3 times for this laptop within one month of purchase. Although they have repaired it under the warranty but who likes to take new laptop to service center. First problem was it was not starting so service center guys said it is charger issue then they fixed it. Again after 1 week i faced the same issue. It was not starting this time they said it motherboard issue and changed the motherboad. Again after receiving my laptop from service center on the same day at evening the screen was not turning on although laptop was on and screen can be seen when connected to other display. This time they said it is issue of display and they fixed it.
Within one month of purchase i had to visit service centre 3 times. Laptop was in service center for around 15 days out of 30 days. I hardly got any chance to use it properly. My experience of new laptop is completely ruined and I don't expect anything from this laptop now. I'm completely frustrated. As of now it is working fine but can't say when new problem will appear. Fingers crossed. Very disappointed with asus brand.
P.s. - I have purchased this laptop after lot of research and comparison as it have i3 1220p a very powerful processor but before I test this laptop to its full potential have to face so many issues."
Placeholder,Just OK. After use of 4 days.,"Body finishing is best. Design is cool looking superb 👌. Keypad also good. Its backlight keyboard is impossible. Operating speed also good. But....... But.....

If u r looking for a better display then don't go for it. Its display looks like LCD display. Very poor quality display. If u just bend ur display then u can't see anything. And its second disadvantage is is battery backup. After full charge u can use maximum 2 to 3 hours in normal use."
,Very nice,
Shubham,Best for daily use but battery is not sufficient,"The ASUS Vivobook 15, powered by the Intel Core i3-1220P 12th Gen processor, delivers a commendable performance. The 15.6"" FHD display provides crisp visuals, and the slim design adds to its portability. With 8GB RAM and a spacious 512GB SSD, it offers smooth multitasking and ample storage.

The integrated graphics are suitable for everyday tasks, though it may not handle demanding graphics-intensive applications. The inclusion of Windows 11 and Office 2021 enhances productivity, and the Alexa built-in feature is a convenient addition for voice commands.

The fingerprint sensor adds a layer of security, and the lightweight design at 1.7 kg makes it easy to carry. The blue color adds a touch of style to the laptop. Overall, the ASUS Vivobook 15 is a well-rounded option for users seeking a reliable, mid-range laptop for daily use."
Suresh Goud,Good,"Really good laptop, but screen could be a little better"
,Ok but display and body is not good enough.,This is good laptop but the display and build body is not upto Mark.
The laptop is good...display is nice,Value for money...,
mangesh kumar yadav,Best laptop in this price,All good except display
Asus vivobook 15 1220,Display and keyboard,"Battery back up is average... Disappointed with display, not clear and keyboard doesn't have backlight"
Chanchal kumar,Performance,Performance is overall excellent but the display and the sound quality are very disappointed at last performance of the divice very well.
Placeholder,Review after 7 days laptop using,"1) weight : average
2) Build Quality: awesome
3) keyboard : poor
4) touchpad : average
5) battery backup : not more than 3hrs
6) processor performance: awesome
7) startup time: 6-7seconds
8) shutdown time: 1-2seconds
9) sound quality: Good enough
10) camera quality: average
11) picture quality : nice
12) price range according to performance and hardware : value for money 👍"
Tanishq,Good laptop keeping the budget in consideration,Its perfect.. Except the display.. Its totally a killer in th budget
,Facing several issues while operating laptop like sound and software,while operating laptop like sound and software
Ramesh,Great choice at 40000 for a basic use laptop,"I bought this laptop for my dad and am impressed by its performance and sleek design. Here are the points that I liked and which helped me choose this laptop

- 12th gen Intel Core i3 processor is a very good upgrade and ensures smooth multitasking.
- The 15.6-inch full HD slim bezel display offers crisp visuals, enhancing the overall viewing experience.
- It weighs 1.7 kg - making it very lightweight and also with a sleek portable design it is really easy for my dad to carry around.
- Comes with PCIe Gen 3 SSD which is very fast - 7 seconds to boot to Windows ( see attached video )
- Decent battery life - average 4 hours while using Chrome, youtube
- Fingerprint sensor for faster login

Here are some shortcomings

- The refresh rate is limited to 60 Hz
- No backlit keypad
- There should be a 1 TB SSD option since there is no option to add a second HDD/SSD
- Webcam Quality is unsatisfactory

Overall if you are looking for a laptop for regular use and don't have gaming as a requirement this is a solid laptop at 40,000 budget"
Rohan,1 month of use...,It's going smooth... After sales service is good.
Humdan A.,Best laptop,Best laptop for in this budget
Jignesh Joshi,My First Laptop 👀🧡,
Placeholder,Good Product,"Asus box packing is good but Amazon packaging box was full worst its open I am disappointed about packaging.
The product was really awesome all specifications are really good but battery backup was little less it's give back up 4 hr on 50% brightness but performance was very excellent and overall product is well and good"
