reviewer_name,review_title,review
Vikas Rawat,Work experience,"This laptop is amazing . The screen is not good
. Battery is very good. Very good in multitasking . But no fingerprint scanner in the laptop ."
,A great product to buy with some compromises,"I have been using this laptop for a week now, I gifted this to my father.

Pros:
1.) Great processor at great pricing
2.) Good performance
3.) Windows 11 pre installed
4.) MS Office pre installed
5.) Battery life is descent
6.) Build quality seems descent

Cons:
1.) Majorly the display quality is too poor
2.) Too bad speakers, even the mobile speaker seems louder than this laptop
3.) No windows hello option or thumb print option to login."
shobhit agarwal,Worst product with worst services,"Worst laptop ever used in my life and even the worst services provided by customer care. Speakers of my phone are much better than this laptop speakers. I have raised the complaint, person from service centre came to my house I showed him how low quality these speakers are and even though some consumer of asus also came to my house for his service even his laptop speakers were much better than my laptop. The service center person claims that this model is having this low quality sound its by default by the company without showing any other unit. When i take some meetings i am not able to hear properly, i just need to pull up the laptop and make it close to my ears so that i can hear properly. What is sense of me spending 60 thousand on this shitty laptop, if i am not getting the voice properly and not able to hear the things in meeting or watching series. Totally waste of money. Worst product ever purchased in my life."
Good,Btter in this range,Better performance in this price range and it is good for gaming like gta 5 and also good for coding. Perfect finishing design it work like a smoother
In this price range these buds are good and good noise cancellation also good working sensor but Bluetooth range is not high,3.5 Star rating laptop,"I gave this review after my ten days of user experience. (In my perspective)This laptop is 3.5 rated.

Pros
1. Outstanding processor performance i5 Intel 12500H.
2. Really good for who learn for their stack developer career or testing with heavy software.
3. While trying to play games like mid level or small level really fine.

Cons
1. The first major concern was display quality. No issues with brightness (220nit). I just used 30% display brightness it's more than enough for indoor. Real problem was in display viewing angle. In one direction it shows very perfectly all the displayed content where viewing same thing in different angle it real mess.
2. Webcam quality at this price range (53,000) it's not enough and not good. Especially when you are using at the night time in room light.
3. Fingerprint sensor at this price range even same brand laptops many have fingerprint sensor but this laptop not having that.

No pros and No cons(Moderate)
1. Battery life is really okay. When you are using heavy softwears and gaming something round 3to4 hour of battery life. Whereas using small stuff like watching movies, using small softwares battery stand upto 5 hour.

This laptop advised for whom (In my perspective)

1. Still, I strongly suggested this laptop for who really pursue their career required High-end software. But they not affordable (70,000 - 90,000) laptop.
2. Average gaming experience.

This laptop not advised for whom (In my perspective)

1. The person who perceive the career any designer or UI/UX etc, because of display viewing quality not processor .

Over all I gave 3.5 rated laptop in my perspective."
Sadhik Basha,works very well,very nice... worth buying for students
,I am not happy with this,"Display is not great.
Battery backup is okok"
Jancy Mazumder,Very good performance...thanks Asus ...and thanks Amazon to sell at reasonable price,Everything about this is so good...the perfect laptop at this price!
,For this cost perfomance is good,"For this cost, performance is good. but the quality of the material is a little worrisome."
Bhaskar,Viewing angle is very bad.,"1.Viewing angle is very bad.,
2.no fingerprint
3.good performance"
