reviewer_name,review_title,review
SrinivasReddy p,Good product,Good
Placeholder,Yup 5 * <--- rectified resolved and re-rated....,"nice one found with amazon with amazing price , selected , brought and it got delivered......given 4 * bcoz the it is missing HD partition....only one drive that is C:\ with windows11 installed...windows 11

Update - Given 5 * instead of ratting 4 * coz after the use of Paragon partition manager i have split C:\ and made 2 drive C:\ and D:\

enjoy guys ----- thanx amazon and dear seller"
Akshay,Budget laptop with sleep issues and poor support,"I bought this as a second portable laptop. I use a more powerful one as my desktop replacement. Let's go through the clichéd pros and cons, shall we?
Before that I should mention the biggest issue I've had with this. It DOES NOT enter sleep state correctly.
The fan keeps spinning in windows and this will be a drain in the sleep state. There's NO updated BIOS as of now to fix that. In Linux it just hangs after trying to wake up from sleep.

Pros:
1. Good price
2. Surprisingly good build quality except for the keyboard which feels cheap
3. Decent number of expansion ports
4. It had a spare 2.5 inch disk slot which was not mentioned in the specs. Bonus expansion slot!
Cons:
1. Cheap internal components (Ram and SSD), though they'll definitely last the warranty period.
2. Stupid policy of not letting users open their laptop without voiding warranty. What do these people think we are? Lemmings?
3. Cheap BIOS with no features
4. No Drivers/BIOS updates on the website.

That last one is the worst, coupled with no BIOS updates which might have fixed the sleep issue. I did some investigation and the issue is that it's not going into ""s2idle"" state correctly and the BIOS only advertises that state. Windows somehow just keeps the fan running on trying to sleep which means it's going into S2 state and not ""s2idle"" which is supposed to replace S3 state.

The BIOS is very cheap and basic with no options to control sleep states, SMART reporting or other advanced features. You can at least expect sleep state control. In Linux, I'm having to use hibernate instead which works if I turn secure boot off, but it's slow.

I would avoid this brand in the future and advise others to do the same. Extremely frustrated with the experience."
girijashankar,Keypad is very bad.,"Features of this laptop is attractive but screen quality is not good , view angle is also not good, and worst thing is the keypad , right shift key is small and postion is also not good , keyboard is not practical , very difficult to use , i suggest not buy this this one , just because of keyboard ."
,Walue for money,But display angle is not good
Sameer kumar,It is lagging already..,"I received this laptop with open( teared amazon box) but since laptop was untampered I let it go. Firstly, this is my first laptop so I'll just type in my experience.

It is lagging even to run prince of Persia ( which is a small game,) ..

Also there are constant lags even which doing simple stuff on this laptop.

There seems to a problem, it takes a minute to wake up from sleep mode and power button keeps blinking....I think it's an issue

Battery doesn't last well...it comes to 30% with only 3 hours of usage, but since it has a fast charger it gets charged quickly.

There is no backlit keyboard, and screen is worse... it'll have to be at a certain angle to view things clearly.

performance is good ( as I only used ms edge so far, yet I experienced lags while closing and adding new Tabs. I'll update more with time.

I"
Prakhar,Speed is awesome,I get Laptop in good condition.
,Nice product,"Use for study purpose and for coding
If any glitch is there will review further.."
Ajay,best at this price,I am using this for trading purpose and the laptop is fine only if Backlight keyboard was available and delivery was too long. otherwise it's fast machine 16 gb ram is awesome
Get today nice product 😃😃,Value for Money Purchase at rs 37000,"Good Build Quality - Keyboard material is not as good as it must be
Speakers have low bass and volume, shrill audio quality
No Heating or reboot issue as of now ie 10 days
Best specs for the price"
