reviewer_name,review_title,review
Riya saini,Good,Nyc packing good quality
,Average product,"It's not bad, but not good either. I bought it for 38,990. I was getting the same price for some other acer laptop with intel i5 1155g7 processor and IPS display, but I missed the deal. So, I bought this ☹️.

Pros:
1- Performance is not an issue. Decent performance for most of the tasks.
2- Didn't do gaming, so not sure of that. But for programming, it's good.
3- Good for multitasking.
4- Audio is good. It's not loud, but sufficient and it comes with Nahimic audio (for which you will have to download it's app) which enhances it's audio capabilities. Audio can be optimised for different purpose.
5- Sufficient ports. Also have type C port.
6- It has control center to control fan speed, external keyboard light, manage fan speed, power.
7- Battery is decent and can last 4-5 hours on regular workload. But on heavy workload, it will last around 2-2.5 hours.
8- Lookwise it is good.
9- lifetime windows 11 home.

Cons:
1- Although display is antiglare FHD. It's not IPS, so it looks crisp but average. It's just ok for the purpose of coding or regular tasks where we just want the work to be done. Since viewing angle are bad, so for entertainment, it's good for single person for watching movies but not for multiple people. Display is not good for graphic designer who needs color accuracy.
2- There is no backlit keyboard. So, if you want backlit, connect external keyboard with backlit.
3- Although it has an SSD, I didn't find the boot time to be faster. It is fast but didn't meet my expectations.
4- Graphic card is not dedicated which is just good for normal work. I don't think you will enjoy gaming on it. It can play light games but surely you won't enjoy gaming on such system. And it won't able to play high demanding games.
5- Doesn't have activated ms office. You will have to buy it's keys.

Note:
You can install a separate harddisk (HDD) for storing data. Screws are provided with laptop.

For me, the bottom side became very hot and fans started making noise, when it first arrived and I was installing windows updates on it first used it on my bed, that is without proper ventilation. But with proper air flow, it doesn't heat.

Conclusion:
If you are limited on budget and only want your work to be done and doesn't care much about display quality or back lit keyboard or you aren't a gamer, you can buy it.
And if you already bought it, don't regret your decision. It's a ok laptop for most of the task and will get your work done.

UPDATE:- It hangs in middle, and everything stops working not even power button unless I press it for long time to force shutdown.....all my work was lost and mind you I was not doing a heavy task that it couldn't handle, simple web browsing and it stopped in middle, nothing worked....really frustrated..... Don't know if it was windows 11 issue or due to cheap hardware of this machine,🥹😡"
Pankaj,"Works great with Windows, ok with Linux","I purchased this mainly because of the support for an in-built SATA port. This was the only one available with SATA port and reasonably recent CPU and a reasonable price. On that front, it is great.

However, I wanted to use it with Linux, and on that front I took a huge risk. Luckily, almost everything works fine on Linux. However, suspend to RAM doesn't work. To go into details, the BIOS doesn't support S3 sleep. It only supports S0x sleep, support for which is only beginning to mature in Linux. I am currently forced to use hibernate, which is slower."
,Hang problem,"मैंने यह लैपटॉप 16 जनवरी 2024 को ऑफर में 32,240 का सस्ता देखकर न्यूज वीडियो एडिटिंग के लिए खरीदा था, 16gb Ram की वजह से, मैं एक पत्रकार हूं और यूट्यूबर भी हूं , Nyay Tak News मेरा चैनल है।
Normal news editing me hi bahut Lag करता है, थोड़े से लोड पर फैन ऐसे चलता जैसे आंधी आ रही हो, अभी अच्छे से use tak n kia , 2 mahine न हुए लिए।
मैं आपको बिल्कुल भी suggest नही करूंगा, Acer ब्रांड के लिए ।"
HRJ,Everything Good except Display,"i am student so my main objective is to attend online classes which works great for me, it's very fast and snappy for day to day work.

Main issue is just display, its TN panel so don't expect too much from it, in fact its very Poor quality but for IPS display you have to spend extra 10k so considering the prize it's the best laptop you can get under 35k.

if you have a tight budget or don't want to spend too much parents' money then go for it.

Also its screen wobbles little bit under fan."
Rahul Avasthi,Great,"Bought this laptop during the republic sale of 2024 and I also upgraded the ram from 16gb to 32gb 2400mhz , and a sata 500gb SSD , Since I won't be using this for gaming and only work it's a good value for money laptop go for it if you want to use it for work purposes 5/5."
,Very nice Laptop,Very nice looking and very good performance laptop and good looking...but I m received my laptop so no Few Charge so I m Sad for batter low condition
Vinay Kumar sindhu,Thank you,Thank you amazon ❤️ best offer and best product
Zein,Initial Review,"Laptop arrived in good condition, the outer packing had some bumps and cuts (I hope Amazon add a foam lining next time around since it's an electronic product) the tape was damaged and I had assumed possible temperament, but the inner package was safe and sealed.

Setting up the laptop right now and I don't see issues except for the display having variable lighting zones.
Speakers are alright, keyboard feels alright for office/school work.

Seeing it has a Ryzen 5 5K series chipset, I belive it can run gaming titles up to 2019-2020s at the lowest settings. Though i recommend you that you buy a gaming laptop if you're looking for the exact application.

I'll update the review after a week of use.

Update*
I've noticed the fan sounds like a jet engine at times. I guess it's a norm for the cheap price but it would've been better if the engineers could come up with grated outlet at the back, we don't mind if there's a gab between the display and the body.

The display is below avg. Not recommended for someone who wants to do work related to colour perfection unless you but an expensive external display.

And as for the gaming aspect, It can run tomb rider 2019 at an avg of 30-40 fps at lowest graphics. If you're alright with that then go ahead with the purchase."
Mr.Foni,Average use,"As I used over 3 month, all features are quite good, it would be much better if have free MS office."
