reviewer_name,review_title,review
Ajay,Nice one,Good one
Utkarsh,One of the best machine one can get,I have switched from Windows the product is amazing .M2 chip is worthwhile
Nand,Great laptop,M2 laptop is great
Vamsi,Mackbook air m2chip,"It was good ,some times it was strucking, battery backup also good 6hs came,"
vijay ramaraju,good,everything is good
Rajarao MV,MAC M2 is super fast and amazing experience,"I have purchased MACbook AIr 2022 Model M2 Chip.
It is super fast and awesome experience."
Cheaters From Amazon,Frauds,I bought the product. It's defective. It's been only 4 days. Tried to claim replacement. But they are not processing it. I'm going to lodge a case against Amazon. Never buy products from Amazon. It's not as good as earlier.
Ayush Indapure,"Best Coding,office laptop","I liked the performance and especially the display of the MacBook air m2, you can almost run any highend software on this beast laptop(tested flutter,android studio and figma), Before buying this one I saw many YT video’s and almost every channel were saying don’t buy the m2 model it is not worth the upgrade compare to the m1 model, But from my experience it is definitely worth it and the new SONAMA update makes it more efficient , GO FOR IT 🔥🔥"
,Worth the Price !!,
Ashley,Ridiculously overpriced,Not worth the price. 8 gb ram. Lol. 256 gb storage. Now a days more ram and storage is available in smartphones. That display size is an insult to consumer intelligence.
