reviewer_name,review_title,review
Shabbir,First MacBook,"My experience so far has been mostly great, but also bit not so in few cases. While I'm an iOS user for almost 10years, this is the first Mac I've ever laid hands on. The design and feel compared with other Laptops that I've used is beyond description. Clearly even before the Mac starts, one can just admire the look and feel. The screen quality is great. The trackpad works differently (but nicely) compared to a Windows laptop. Ofcourse one has to get used to few Mac specific keys, but in no time you can get started.
Because of the 15"" screen, working with multiple windows is easier. Audio quality is good, and camera is also great.
One experience that I have not enjoyed so much is the compatibility with McAfee products on Venture 13.5.1. Since I've bought a 3yrs licensce to protect my Mac, but due to some compatibility issue that McAfee is busy to fix for almost a week, I'm cnot using the Mac regularly."
Bhavya Doshi,Macbook air 15 inch,"i know u must be wondering which adapter is been given in box ,it is 35 watt with dual type c , but the mac charges pretty fast with that too and lasts longer , so if you get mac at lower price than market than surely buy it from here ! otherwise it is an awesome machine looks great , screen is great , sound is great , camera is great and it syncs with iphone , iwatch and airpods"
Abhi P,Experience is par to none,"Overall, happy with the purchase."
Ishan d.,Got a broken display and amazon refused to exchange it within the period,"It was by far the worst experience by amazon , i got it with a broken display , I immediately contacted amazon where to my horror they asked me to get a written service denial letter from apple’s service centre, the people at apple were very cooperative so they gave a written letter with their stamp on it, amazon denied it even after that!! It was clear by then that amazon is not going to take it back , the people at apple’s service centre were increasingly cooperative , they first insisted to put a new display but since the display was unavailable, they made it a CRU(customer return unit) and i got money back from APPLE , then i ordered a macbook pro from FLIPKART the best purchase at a good price"
Rohan Kotecha,Beast that is long to last,"Apple Macbooks are really built to last. Unlike any other brand that you may consider, these laptops are a GEM when is comes to regular computing & browsing. I am not sure, how they perform in Gaming & other creative stuff, but for regular office usage, this is the most wonderful equipment possible."
Swamy,Apple is Apple,"Excellent. Had MacBook Pro 2015 Retina. Nothing wrong with my old Mac. But this 15.3"" is really very impressive. The display and M2 performance is superb. For my office work 256GB is quite sufficient. But I should have gone for 512GB storage since my Insta 360 recoding files occupy quite a large space."
Amazon Customer,Good laptop,"I have been using Max book air 2014 version. It lasted for almost 8 years. I had to upgrade as my earlier MacBook had only 4gb ram and was not upgradable.

M2 with 8gb ram is like any windows laptop with 32gb Ram.
Worth every penny"
,Works like a charm,"Big screen all the way. got it for 1.28l. It's worth my ""investment"". Using it for coding and media consumption and battery im getting more than 12 hours. Heat issues are minimal especially when using apps which are not optimised for this silicon chip. But I could throw anything at it and it takes like a pro"
Anu,Quality,Quality product
,Value of money,Super ❤
Placeholder,So far looks good. Yes it is light weight and powerful.,So far looks good. Yes it is light weight and powerful. I haven't used it much but checked the camera which better than previous versions and no heat issues so far.
Pankaj Kumar,Very nice product,"Light weight and display screen 15"". Battery backup very good, look is good, metalic body, lot of application in built, speed is very good."
janny shah,Wire stopped working in less than 10 days,The charger has stopped working in less than10 days
One of the greatest laptops ever loved it ❤️,Quality,One of the greatest laptops ever loved it and very useful and great performance and you should buy it ♥️
Avi jain,Best laptop ever,This laptop is value of money and this the best performance laptop in world I think is the greatest laptop
Satyendra Dubey,they are offering less storage just to torcher customers so next time we buy their costly devices.,"Once used apple- no one would like with any other thing/brands, n they are offering less storage just to torcher customers so next time we buy their costly devices."
Dharmendra Rai,A worthy Air Upgrade,"In a world of silly incremental upgrades here is one that hits the mark . Bigger screen, getter audio , more battery time . Nothing airy fairy about it . The start button should have been left embedded on the key pad rather than as a separate key . The key on off switch makes it difficult to clean the laptop when the battery is not 100 % drained . A design flaw probably touted as an improvement that Steven would have have baulked at"
,Original product,"Good product of course, Apple is reputed and trustworthy, packaging and delivery was great , hence no complaints on the product 👍"
Xxx,Light weight and most powerful sound quality and length increase before other MacBooks,"This is product MacBook is very nice and like me for personal experience and value of money product so I sujjes to buy this laptop and your experience will be most better trust me
Therefore let me try once"
Amazon Customer,There’s no 16 gb ram variant on Amazon.,It’s a great product but it would be better to have the one with a 16 gb RAM variant. There’s not a single retailer here selling it . So kindly make it available.
Business User,Received without charger and seal,I received the macbook air yesterday - but the power adapter is missing from the box. There was also no seal on the box
Arpan,It is a very nice machine,"I am basically use for coding and video editing.
This is very powerful machine. I am fully satisfied with this laptop."
Utkarsh,2023 MacBook Air with M2 Chip: A Leap Forward in Power and Design,"The 2023 MacBook Air, powered by Apple's M2 chip, is a testament to Apple's commitment to power, performance, and sleek design. The laptop's 15.3-inch Liquid Retina display ensures a vibrant and immersive visual experience, making it ideal for both work and entertainment. Its 8GB RAM ensures smooth multitasking, while the 512GB SSD offers ample storage space and faster data access.

The MacBook Air's design is another impressive feature. It is thin and lightweight, making it highly portable. The space gray color gives it a sleek and stylish look, while the backlit keyboard adds to its aesthetic appeal and functionality, allowing for comfortable typing even in low light conditions. The laptop comes with a 1080p FaceTime HD camera, providing users with high-quality video calls. It also features Touch ID, which works with iPhone and iPad, providing an extra layer of security.

In conclusion, the 2023 MacBook Air is a well-rounded device that offers a blend of performance, design, and convenience. Whether you're a student, a professional, or a casual user, this laptop is designed to meet your needs. Its powerful features and sleek design make it a worthwhile investment."
