reviewer_name,review_title,review
Rohit,Natural Sound experience,This product is very good in in sound quality and it produce natural sound which is very soothing for ear to listen any music and its audio quality for calling is also very good and when I listen any voice on calling then it is also very clear and it is better than any other wired headphone. No doubt it is costly but it is very best other than any headphone.
Vansh Manchanda,Sound Quality is perfect .,"Whether you use it for your laptop or any other system with 3.5 mm jack . It works well. Loved the sound , bass everything . It’s Apple . No doubt on the quality ."
Noor,Super,Super sound quality but build quality average
Amazon Customer,"Quick deliver, quality product","Delivered next day morning, and product is original"
vishnu,Everything is good except volume controls.,Everything is good. But Volume controls won't work non-apple devices.
Akhilesh,Original product > Good Quality > Worth the spend,"Received the product yesterday. Used it for a day. I was looking for a wired ear pod for office calls, usable both on laptop and phone. This proved worthwhile. However, there is no ANC in this. The voice control do not work on Android devices. But that wasn't my priority. But the output is too good. Overall a product to have if you have a similar requirement."
Dass,Nice wierd ear phone,Music and bass sounds are terrific
Emmy,Mic quality is not good,"I bought it specifically for good mic but its mic is normal, not good. But the sound quality is amazing. But many other companies in this price range offer excellent mic quality. So why not apple?"
ATHARV SHUKLA,Go for it,Apple is apple. It's similar to apple airpods in sound quality and mic quality is best.
Devki Nandan Mishra,Sound quality,Nice earphone..buy it without any worry..👌👌
Deon v,Good,The sound and call quality is good. But your ears will start to pain if you are planning to use it for long hours because of the no silicone tips design.
Vinit Joshi,1st out of box review,First out of box review feels good after initial use. Now need to see how it works over longer period of time.
Cust,Liked it,"A good find. I checked out various websites like croma, reliance but I could get it for a lower price in amazon. The quality is good. It has noise cancellation. The packing was intact."
Ravi Kiraan Vijapurapuu,Product Review,Good product. buy extra connector if need to use with iPhone since it is with 3.5mm jack
PUSHPENDRA YADAV,Good,Excellent
Abhishek,If you are purchasing this for devices other than Apple read my review,"You'll need to understand that Apple follows different standards than others and there's something called CTIA and OMTP, search this on google."
Syed humaid,Great,Great
Good for gamers,Best of all,Apple is apple. Nothing much to say
,Best to buy,Superb product
MOHIT SAI,Just Wow 😲,Amazing experience yrr
sujeet,Volume controls won't work on android phone,Best quality sound and comfort the only thing that is bothering me is that volume controls wont work on android devices
,Sound quality is amazing,"A bridge between two earphones where we will tight the cable is broken. Even after 2 deliveries, it was the same. I felt a little disappointed over there. Other than that, the sound quality is amazing, and Apple should focus on the cable's durability as it is fragile.

Advantages:
1. Awesome Sound quality
2. easy to wear n use
3. Mic

disadvantages:
1. durability
2. Thin cable
3. pain in the ear for long hours of use."
VJ,Good,Good for gaming n music 10/10
Jaswanth ch,Sounds,"Already I have this headset, it's super cool one."
Umapathi A,good,good
R.SUBBU KRISHNAN,Good,Returned the product and finally got the refund after some troubles.....
Vignesh,excellent audio quality,good
Pranav Mundhe,Value for money,Amazing product. Must have in earphone collection. Paisa vasool
Pappu/vinay,🤣,🤣
M Surya Prasad,Great buy,Great item
rahul lokanathan,BEST HEADPHONES IN THE WORLD,Great man apple daw!
Thilak,Good ear phone volume keys does not work,"Ear phone has excellent quality no doubt , the volume keys does not work or disabled we can receive calls , change the songs . So volume keys not working really dint bother me but they should give specifications abt it"
Lancelot D'Silva,"Premium quality, premium sound",
Ganesh,Excellent Earpiece 👍,"Apple any time is the best in product quality and bringing excellence in the user experience.
Very nice and comfortable ear phones.
Can wear for long hours without any pain.
Superb sound for music and mic quality for online meeting.
Go for it without any second thought."
,Decent product,"Low bass , you cant really use it when travelling because the wind noise entering into your ear. Mic quality next level . Not good for listening music"
adithyan,Decent genuine Product,"These 3.5mm Jack Apple earphones I was not getting in any store near me.
As per the authorized apple retail stores these are not in manufactured anymore.
Neither Reliance Digital or Croma has these.
Found these online finally.
As expected quality wise product is very good."
E Uday Kumar,Awesome,Awesome
,Love it,Worth it for pirce
kaushal raj,About this product,Excellent product
Nitin Chaudhari,Very good product from apple,Very good product but volume buttons are not working on Android devices
Diwakar Patnaik,Volume buttons!,Volume buttons won't work for Android.
Yash Dhansare,Volume controller not working still product is awesome,"The volume controller of earpod is not working, but the sound quality is amazing"
Pratyush,VALUE MONEY,I got my product today and it’s awesome 🤩 guys if your want purchase apple earbuds you can go with these. Awesome voice and it’s good.😊
,Nice,Quality top notch
Amazon Customer,Good,Ii
Amazon Customer,Osm earfon,Best earfon
Pranjal,Just ok.,"Just works as a good one but not expect any wonders. I that sense, it is toomuch overpriced. Its just a Pear from Apple lol.."
Apm,Ear phones,Super
Placeholder,Adequate,
Noel h.,BEST WIRE HEADPHONE EVER,Awesome Headphone for clear sound experience. Just Woow.
