reviewer_name,review_title,review
Jawahar K,Quality and Durability,Most loveable product for me personally as the MIC and sound quality is so good and clear. Especially while speaking the phone it give clear quality of voice. Also very user friendly and durability is high. Worth for money we can buy if you are looking for the wired Apple headphones 🤩
rohit das,"Solid Performance, Reliable Connection","It deliver impressive sound quality with clear highs and deep lows. The wired design ensures a stable connection, and the comfortable fit is perfect for extended use. The inline remote adds convenience for easy control. While lacking wireless features, these EarPods are a reliable choice for those prioritizing consistent performance."
Aarish Rahaman,In this budget its worth,"The sound quality is amazing but the quality of bass isnt that good (balanced) nd built quality is really cheap , no comfort at all but yeah in one word its good"
,Quality,"Reliable
Good Build quality
Better audio quality"
Manesh,My honest review,"Best premium quality earphones in made by apple, good sound effects, bass quality 100% call voice to clear receive , finally i full satisfaction by apple"
Vicky,Original product,Its original and working properly 👍🏻
Netti,Quality,The quality is very good
Pradeep,It’s good,Worth the deal offered. Not very effective as the original one... there’s certainly a sound difference noticed. Keeping it as I need it ..as the previous one being damaged.
Jaszmine,Worth full product,Price is a little bit high
,Good,Good product
Hanmanram,Sound,Bass is not upto mark
Bharani Vasan,Nice product,Sound quality is good
,Product,Good product
Arup Dutta purkayastha,Amazing buy!,So glad i invested on this. Do use wire protectors at the end.
Nandita,Same,Good
Honest review,Good product,"Good product, but it’s better to have Bluetooth headphones"
Pritam Papani,Nice product,Value for money
Vikas Mhatre,Not bad,My personal opinion on these is it’s better compared to purchasing wireless earbuds the quality is okayish little low on bass but overall good would recommend it.
Aman,Quality,Amazing sound
Ajay Mhatre,Wire quality not. Good,Quality need to improved
Worth Buying,It is fully worth to buy it is one time investment,Plz buy carefully if u have patience then go for it because if product is defective u can only get replacement if again replacement product is also defective then u will get refund but the refund will arrive to you with in 20 days then buy if u have patience 😮‍💨
Chidananda,Good Product,
,Wireless earphones,Works great
Amrin,GOOD,GOOD
savad,Good,Good
ABI YELLOW,Works for 5 months,Worked well for 5months after that only one side works
shankar,Sound quality,The sound quality of these are really amazing at this price point
Tushar,good sound,nice
Kindle Customer,Trillion times better than airpods!!!,Cheap audio quality is crystal clear when you're in a call. Buy Astell&kern xb 10 if you want to use it wireless. With 3.5mm jack. 😊
Raja Joshua,Good quality product,Value for money
Thangaraj,Not working,Right side is not working after 2 years
Mohit Soni,Perfect,Excellent sound quality if you like old school things then it’s for you
Nice earphones,Nice products by Apple,Sound quality is to clear and well balance
SUBRATA MONDAL,Most trusted band,All good
Swapnil B Dongare,Best quality headset,Sound quality best
Very good product and original quality,Very good quality,Very good quality and original
Sahib Singh,FOR BGMI Almost Perfect But... the noise cancellation of mic is not good,"The raw noise cancellation of its mic is not good. Although it is fine when an app does the noise cancellation from itself. In bgmi the background noise from the mic is terrifying for team mates, have to shift to a quitter room. For game play i would say that these earphones are pretty good but not as good as the hyperx ones because during intense situations when there are multiple sounds , it may become harder to notice the important sound of footsteps. But according to the price segment these are just worth it. Only raw noise cancellation of mic lacks."
C A RAGHUNATH,Refund pl,"Item is not suitable for the device
Pl refund"
Kunal,Obviously it’s apple so it’s a good product,The sound quality is good but the cable is too slim may damage from the end in long term uses you need to use cable protectors
Karbom Dabu,Sound quality is epic,Loved it!
Rogeela Pradhan,Review,Loved it
Albel B.,Apple,Nothing is better than apple
SD Das,Good but not justified as it price,"Hey Guy’s I’m Subhadeep and now I’m going to share my POV about this Earphones in 2023, should you buy it ? Or not !

I have many IEM’s in this price segment, like KZ ZSN PRO X, Blon BL03 and Moondrop CHU. As my opinion these are sounds very natural, bass is not deep, treble is ok but main the mids are too good 😌, if you want to buy it for listening podcasts, YouTube videos, movies this will be a great choice for you. One of the major point of these the mic quality i want to give 10/10 on mic quality. It’s mic is better than my AirPods pro which i have since 2022.

Build quality is not great. Please buy a earphone case with it.

Bass- 5/10
Mids- 9/10
Treble- 7/10
Mic quality and calling- 10/10

*fitting could be a problem who are not use to with half an ear design buds, so please try it’s fitting before you r planning to buy it.

Overall good but not best in this segment."
,High quality sound,Sound quality was amazing
Placeholder,Good,Better sound quality
sanidhya labbroo,Fine,Its good but cant wear it longer period .
Viveksingh Negi,Peaceful music,
Nice,Great,It is awesome
Kulwant Singh,Good product.,Good product.
Vinayak C,Typical apple product,Excellent sound quality as one would expect from a apple product. Wire quality is very poor and outdated.
