reviewer_name,review_title,review
rohlua,awesome,awesome as expected
Deepak Chawla,Best of all Tablets in the market if you can afford it,"Pros.
1. This is the high-end tablet in the market which is suitable for all your needs.
2. When combined with Magic Keyboard and Pencil, you can use it as a minicomputer and not to say, the apple magic keyboard has no competitor.
3. New feature of pencil hovering is awesome.
4. No lags, display is awesome.
5. Battery backup is great if you are using wifi model or only wifi most of the times.
6. In case using cellular data, it is less than wifi model but still you can use it for 2-3 whole days if you are a high end user. In my case, I am able to use it for 4-5 whole days on one full charge on LTE.
7. Application support is great and best when compared to other brand top model as well.

Cons:
1. Price is a negative point, if you can afford it buy it. It is worth every penny spent.
2. Display should be similar as provided in 12.9 Inch, that would be great.

Note: this is the best tablet in the market considering the battery backup, applications support etc."
Shanmugavadivel,Genuine product,Genuine product with Apple warranty and original packing 👍. Received in time also.
Chowdri,Performance,"Performance is good, but not meet the expectations like they advertising. Amazon packing is worst, product cover been damaged."
Satya S Roddam,Worth it,Good product. Great for photo editing. A bit slow for video editing.
Rajat,Overkill! Superb Performance,"I have been using this for editing my GoPro 4k footages and this device has been a beast!! No hiccups whatsoever and amazing screen quality. Lightroom and DaVinci Resolve works seamlessly and promotion is also very good. I expected battery life to be a bit better but standby time is great, so no complains overall."
SACHIN YADAV,SOMEHOW DISAPPOINTED BUT HAPPY ALSO,"JUST AFTER RECEIVING THE IPAD , I OPENED THE BOX EVERYTHING LOOKS AWESOME AS ALWAYS APPLE PREMIUM UNBOXING 😂.
I POWER ON THE IPAD AND BOOM 💥 THE IPAD SCREEN GOT FROZE 🫤.
I IMMEDIATELY CONTACT THE APPLE SUPPORT THEY HELPED ME A LOT AND I APPRECIATE APPLE SUPPORT THEY ARE LIKE INCREDIBLE TO HELP YOU,THEIR TALKING BEHAVIOUR, PATIENCE I LOVED IT .
AFTER TAKING HELP FROM APPLE SUPPORT I UPDATED IPAD STILL SCREEN WAS FROZEN.
SUPPORT SAID PLEASE VISIT NEAREST SERVICE CENTRE
AT SERVICE CENTER AS ALWAYS CALM AND LOVELY BEHAVIOUR SUPPORT 😇 HELPED ME
THEY REPLACED MY IPAD AND GIT IT BACK AFTER A WEEK.
SO, HOW IS IPAD
DON'T DOUGHT ON APPLE'S IPS OR LIQUID RETUNA DISPLAY IT IS ALMOST AMOLED ONLY AS IT PROVIDES RICH COLOUR, CONTRAST AND BLACKS .
PERFORMANCE - APPLE BE LIKE TO ANDROID
BETA TUMSE NA HO PAYEGA BECAUSE IT HAS M2 APPLE SILICON WHICH ONLY SPEEDY BRAINS CAN HANDLE .
BATTERY BACKUP - 7 HOURS FREE FIRE AT MAX SETTINGS.
SMOOTHNESS AND IPAD OS IS JUST CHUMESWARI 😘
SPECIALLY FOR GAMERS THE CONSISTENCY AFTER CONTINUOUS LONG SESSIONS.
CAMERA - EQUIVALENT TO IPHONE 13
CHARGING - AS ALWAYS WORLD'S FASTEST CHARGING 20W 😂 , BUT I LOVED AS IT TAKE MORE 60 min to charge 50% which helps user to take a rest, apple care for our health and ipad health also 😇."
,Brand itself defines,You will love it
Well wisher,Original product but the packaging was dirty,"When package arrived I opened package in front of delivery agent. The box was dirty and had fort marks on it. I asked him I am scared of the Product is original. He asked me to raise a concern if product is damaged. I opened the box checked everything inside and the model number, relieved to know it's an original apple product. This is my first ipad so can't comment on technical aspects until I use it but look and feel is really good. Excited to put it to good use."
shubhangi more,Maintaining an apple product is expensive,"Ipad doesn't support WhatsApp app. It's also not support many pro app for editing, which imac allow."
