reviewer_name,review_title,review
Super quality best for children,Good,Good
Mahesh N.,Awesome,Very good
Manoranjan Sahu,Nice,Best product
Placeholder,Slimmest phone,Good mobile still performs well
Dushyant Pachar,Good,This is a good product
Prasanna Bhalerao,iPhone is the standard against which all smartphones are compared,"I purchased this phone for my wife. Last year I purchased iPhone X for my son who is currently in the UK. I own an iPad and iMac 27"". I am not going to buy an iPhone for myself - at least not yet. One of the main things that I don't like about Android phones is the crap (bloatware) that each maker puts in. Moto and Google Pixel come with pure stock Android. So those can be left out. So I wanted a good phone for my wife so that she could FaceTime with my son in the UK anytime.

What is there to say? So many have written about it. Since everyone writes all the positives, I will write some negatives. While there aren't too many, no product can be perfect:

1. Brings in all the junk from the old phone. If one is switching from Android to iPhone, the ""Move to iOS"" app on Android can help. However be sure to clean up your Android phone first else all junk (especially ""Good Morning"", ""Good day"" picture crap from WhatsApp photos). Be sure to clean the SMS inbox also, especially all those blocked and spam messages which may be hidden from the main view and we never know that exist.
2. WhatsApp cannot be synced. Yes, there are 3rd party apps but they are full of ad-crap and I can't trust them for security.
3. Difficulty in validating iMessage and FaceTime. I could not activate iMessage and FaceTime with my mobile number. I simply could not figure this out. This is the case with my Vodaphone SIM/Number in India. Only when I added my email to my Apple ID, the two apps started working. Even now, the mobile number is not verified.
4. I wish Apple provides dual SIM. Now dual SIM is almost a necessity. But as my wife does not use two SIMs, for her, it is fine.
5. Apple is providing USB-C to lightning cable. They should supply USB-A to lightning cable instead. 99% of the chargers have a USB-A output. I had to purchase a USB-A to USB-C mini adapter (₹180) for this, or someone may have to buy a cable of the type (good cables from Apple, Belkin, Anker cost ₹1100 and above). By far, this is my biggest grouse.
6. This is not the latest iPhone. The iPhone 13 was ₹73,000 and did not seem VFM. Even at ₹56,000 (₹55,900 to be exact), the iPhone12 may not be money best spent. This is one reason, why I haven't purchased an iPhone for myself all this while (I can afford to buy the latest one every year)."
RakhuNathan,Not Really worth the money,"I have been an android user for the past 8+ years. Recently was using iphone 6 for the past few months, liked it much and wanted to switch to ios. I did not want to regret, so i purchased the best in the market, going with iphone 12. Honestly, I dont feel its worthy. Perfomance wise, its good. A lot other phones like MI, 1+ everything gives us a very nice perfomance too. The A14 chip is just a tag line to sell the phone. Are we really going to process million instructions per second on a mobile phone? Defenitely not.

Battery, After charging it to 100% in the morning, I am hardly getting 1 full day with average use. My battery is almost 20% at the end of the day with a screentime of 4-4.3 hours[Update : With low power mode, it makes a 6 hour day, ending with 30%]. Camera quality is amazing in natural light. Yes, as specified it works so nice in night light, but please dont mistake night light as no-light. Front camera is still average. The same things i see in every other mid range android phones. I am still using JIO 4g. Not sure how this would work on 5g (must drain even faster)

Face detenction, the color of the phone, Water resistant and all stuffs are nice to have, fancy items. But not really convinced if this is all we get for 84k?

Fast charging - I bought a 20W charger from apple store for Rs.1900. I plug in when the battery is 20-25% and it takes 1.45 hours to reach 100%. If this is all about fast charging you are looking for, well and good. I never tried with magsafe, honestly. But this to me doesnt seem fast charging for 2800~ mah battery.

I wont say that this phone is too poor. It gives us all that it promises. Personally I dont recommend investing 85k Indian money into this. Either go for lower versions of other iphones like 11 or you can wait for an year and buy this at cheaper cost.

PROS : Camera & Perfomance
CONS : Battery and Cost"
Srikanth,All good,Liked
Anjan Roy,Best phone in budget,I bought it on big billion day sale 2022 @48000/- I have never seen this price ever again for me it was a good buy.
Karan,Awesome with less Battery Backup,"If you can increase your budget
Then please purchase Iphone 13
Because the battery is so less in upto This Iphone Models
Overall the product is awesome"
