reviewer_name,review_title,review
Pritam Shetty,Smooth Transition to iPhone 14 Plus,"I recently made the switch from Android to the iPhone 14 Plus, and it has been a remarkably smooth transition. Here are some key points about my experience:

1. Seamless Setup: Setting up my new iPhone was a breeze. Apple's migration tool effortlessly transferred all my contacts, photos, and apps from my Android device. It was a stress-free process that ensured I didn't lose any important data.

2. Intuitive User Interface: The iOS interface on the iPhone 14 Plus is incredibly user-friendly. Navigating through the device, customizing settings, and finding apps is straightforward, even for someone who was accustomed to Android.

3. Performance: The iPhone 14 Plus packs a powerful punch. The device runs smoothly, and apps load quickly. Multitasking is a breeze, thanks to the robust hardware and optimized software.

4. Display: The OLED display on the iPhone 14 Plus is stunning. Colors are vibrant, and the screen is sharp and clear. It's a joy to use for watching videos, browsing, and gaming.

5. Camera: The camera quality on the iPhone 14 Plus is exceptional. The photos and videos captured are rich in detail and clarity. The advanced camera features and modes provide ample opportunities for creativity.

6. App Ecosystem: The App Store offers a vast selection of high-quality apps that enhance the iPhone experience. I found all my favorite Android apps and discovered some excellent iOS exclusives.

7. Privacy and Security: Apple's commitment to user privacy and security is evident. Features like App Tracking Transparency and Face ID add an extra layer of protection.

8. Battery Life: The battery life on the iPhone 14 Plus is impressive. I can comfortably go through a day of heavy usage without worrying about running out of power.

In conclusion, my transition from Android to the iPhone 14 Plus has been a positive one. The device offers a premium experience with a top-notch camera, excellent performance, and an ecosystem that keeps everything well-integrated. If you're considering the switch, I highly recommend it for a seamless and satisfying smartphone experience."
Gokul,It’s my first iPhone experience,"It’s my first iphone and i see that it has a verygood battery life, as I’ve used it for 15-16 days and one single charge upto 100% can easily hold till 2complete days, in one charge cycle I’ve watched
6eposids of 30mins each and a movie of 2hr25min.
Overall batter is really osm, I didn’t expect this from iphone. I usually keep the power between 30% to 80% and this holds for 1 to 1(1/2) in a decent use of continuous screen time about 5 to 6hrs smoothly.
Well battery is good..
(single battery% stands for 9-10minutes on light usage if rough usage then 7-8min definitely)

Now come to it’s performance,
Obviously with appleA15 chipset it’s really soo smooth, overall having a 60hz display while all ther brand are running with 120hz display. But still i say it is smooth to a good decent level.
If i come to gaming side, no doubt u can go for it, but as its display is 60hz it may get u some change if u are a heavy gamer(I’m don’t play much games😅)

Well come to the camera part,
Obviously iPhones are verywell known for their camera quality, compared to pro series it has only 12+12 Mp camera setup it doesn’t have 48mp setup as pro. But still it best pics as good as pro.

On screen brightness I not impressed with it, It’s not that bright to see under heavy sunlight quite difficult but can be seen but not clear.
Well compared to pro, pro can be easily seen under heavy sun easily without any difficulties. Can be seen clearly.

On waterproof, no doubt you can swim with it 😅
I’ve done it twice and daily I carry it while I’m bathing.
Definitely 👍 good.

On build quality, screen with ceramic display it’s really soo durable, I’ve placed screen on heavy surfaces without tempered glass and i can’t see any scratches on the screen. But edges are quite disappointing with aluminium frame is quite delicate on third day after buying it slipped from my had on one side of edge and boom it shot with a slight dent on edge.

If i talk about Speakers they are really good and easily audible at a heavy traffic noise too. Overall speakers are good 👍

Overall i can say it’s worth to spend 80k on this mobile.
So you can go for it."
Manhan,Apple is a proven product..,Good product
Mallajeet Sonowal,First experience with IOS - its different,"I am writing this review after using it for1 month. This is my first apple device. I upgraded from OP7T to this device. My prime requirement was superior battery life and looking for an overall decent good phone. So I was initially inclined to buying OP 11 but ever since OP was acquired by VIVO, I felt that OP has lost its originality and as a result my interest for OP11 was somehow withdrawn. After one month of usage of IP14+, I find that in some aspect IOS is superior to android and in some other aspects android is superior to IOS. As a very normal mobile phone user, I’ll try to highlight the difficulties and good aspects of the device I noticed while using it for the last one month:

Pros:

1. Battery life is outstanding. When I was using single sim, I was having 40-42 hrs. of battery backup with moderate usage ( I don’t play games, moderate usage includes streaming content in Netflix, Hotstar etc. for 2-3 hrs.). When I started using duel sim also, the battery life is easily lasting for more than 36 hrs.

2. I absolutely liked the Face ID feature and I really appreciate the security features offered by IOS. Be it for banking app or for any other apps, no unnecessary third party apps are required for protection & privacy of apps. My child can’t install any gaming app without my Faceid and it is such a relief.

3. Astounding sound quality. This phone bar delivers amazing sound output. You’ll experience absolute satisfaction while watching content in this phone with such high quality sound output. My wife is using Galaxy S22 Ultra and I find that the sound output of IP14+ is superior to this.

4. I read that screen refresh rate is 60Hz, but it hardly mattered to me. I could not notice any distraction due to this in my day to day activities. But I must say that watching content in S22 Ultra is more eye-pleasing but this does not mean that screen quality of IP14+ is any less than the S22 series.

5. Duel 12 megapixel camera offers you such incredible picture quality that many flagship android phones with triple/ quadruple camera having fancy megapixels should feel ashamed of. Day or night , you get awesome photos. No unnecessary beautifying of photos , you simply see what you click. If I look bad, the camera will show me just like that. Video quality is also great specially in cinematic mode.

6. Lesser battery & lesser ram than most of the android phones out there but performs like a beast non-stop.

Cons:

1. Android is so easy to use. It gives you the liberty to do as per your own terms. As a very normal user of mobile , simple activities like toggling with SIM data, choosing the sim to call, auto connection of Bluetooth with car (once it is paired), browsing the file manager, copying & pasting any files to & from the mobile device, connecting a SSD / pen drive etc. is such a piece of cake in android phones. In IOS, calls will only go from the primary sim. You do not get the choice of selecting the sim to call your contacts. You can call a contact from your secondary sim only if you received a call from the caller in the secondary sim. I normally toggle between Jio & Airtel for mobile data. Toggling the mobile data is so damn easy in android phones through drop down menu but in IOS I have to go to settings everytime to select the primary / secondary sim for default data.

2. File browsing in IOS is another nightmare for me. In 1 month I started missing the android file browsing utility. I can not copy a file from external source (pendrive / ssd) to iphone. When connected to PC, I am only allowed to copy camera photos and videos to PC. May be IOS is restricting all these to enhance security of the device which I really appreciate but can’t help forgetting the swiftness of android handling all these shortcomings.

3. Can you imagine, the calculator app can not handle any sum involving more than 9 digits.

4. As I said camera in this phone is great. But I paid 90 thousand for the phone and for the price paid for I at least deserved a macro lens and 3x optical zoom lens in the camera system. Forget about macro photography & zooming if you are sticking with non-pro versions.

Anyways, pro’s & con’s makes a product perfect. Despite all the shortfalls which are bothering me, I liked this device because in many other important aspects it outperformed other flagship android devices. In the end I must say, for battery, ram management and security IOS rocks and for ease of use android rocks."
,best,My first iphone . I loved it. Impressed with the battery life. very smooth to handle. overall superb phone
Kshitija sontakke,Hats off to Apple. The 14 Plus - a class apart phone.,"Its a big myth that Android phone are better than iPhone. I was with samsung flag ship mobile previously and Samsung never come even close to iPhone in any aspect. After saying this, there is no need to discuss any other android phones in the market.

You only understand this beauty only once you use it. Go for it. The battery life is outstanding. The display, look and feel and the seem less fluidic way of its presence is immaculate.

The 14 Plus - a class apart phone."
Mohan Jakkula,Apple catalog completed,"I have all the apple products except for the iPhone. This is my first iPhone after sticking to android for 12 years.
Main reason was for battery and I give full marks to apple for optimisation
Soft ware and hardware complement each other. I know most of them debate android vs apple, my opinion is that apple maintains consistency and keeps on optimising its OS and also has clear vision on privacy
I’m happy overall"
Harry,Camera,Simple saying awsm no comparison
Mayank0802,Nice,Simply awesome
,iPhone 14 plus,Great phone
