reviewer_name,review_title,review
Jain,Worth the Price!,"A17 Pro chipset is definitely fast. Even with iOS 17.1.1 the phone heats up while using (surprisingly not much while charging through MagSafe Charger).
Fantastic camera setup, though a 5X zoom is missed. Speakers are loud and clear.
Battery life is good, charges fast on Apple 20W charger and the supplied braided TypeC to TypeC cable."
,Stunning,"10/10 for ux, screen size, copmatibility and arrived before estimated delivery date"
Akshiv kapil,Please get a protector for your camera as soon as possible,"Before using iPhone 15 pro, I used iPhone 12 Pro Max for almost 3 year, in that 3 year period, I accidentally dropped my phone dozens of time but nothing happened to the phone as it should be and as what all of us expect! But after using this new phone iPhone 15 pro for just 2 months, I accidentally dropped it from just waist height, that too on a plane surface, still it lead to break one of my camera glass !
So please don’t trust iPhone or all other YouTubers please do get a iPhone camera protector!"
,Goood,Love my phone
Amazon Customer,Worth an upgrade.,"Had upgraded from the Iphone 11 to 15 pro . Many changes and seamless experience but the only issue that exists is the heating issue . The phone heats up while charging , maybe its because of the fast charging but apart from that just browsing Instagram for a certain period heats up the phone. The phone is on the latest update but the issue for heating is yet to be resolved completely. Apart from that everything is flawless especially the camera. Its better if you upgrade from an old Iphone as the experience is flawless."
Revanth,My first iPhone,It’s been 4 days since I have picked it up and in love with it
Anirban Dey,Amazing product from Apple.,No heating issues till now. Smooth UI and camera setup amazed me.
,iPhone always best and IPhone 15 pro it’s too best,iPhone 15pro was extremely mind blowing super😘😘
Tilon,Best Phone at this price range (Pun intended),"I recently got into Apple system with a purchase of iPad Air 5. Looking at the my usage, iPad fit well with my overall system so I decided to switch to iPhone from OnePlus 7 after 4 years of usage.

I have to say that iPhone does have a premium feel to it, not only in appearance but in performance and UI too. Switching and transferring data and WhatsApp are fairly simple now with Move to IOS app. After setting up my phone in a day, it was ready for daily use without keeping my Android along as a secondary device.

Big worry before buying 15 pro was reported overheating issues but Apple has fixed that problem with iOS 17.0.3 and I haven’t encountered heating issues after initial setup process.

I will get straight to pros and cons below:

Pros:

1. ProMotion: You can feel 120hz vs 60hz right away.
2. Camera: Point and shoot without hassle. But one needs to check out few YouTube tutorials to understand Camera app settings thoroughly.
3. Customisation: Yes this sounds strange but Shortcuts app on iOS is so powerful. You can do many system level customisation with shortcuts and automation.
4. Battery life: With medium usage, I get through whole day. Stats for nerds: it averages above 4.2 min per 1% discharge and gives me 7+ hrs of estimated SOT. Estimated here because I don’t use full 0-100% charge and discharge cycles.
5. Performance and Security: No further description should be required.
6. 80% Charge limit: This setting helps when I keep my phone plugged in to car for CarPlay because it stops overcharging to 100%.
7. Weight: I haven’t myself experienced difference in in-hand feel of 15 Pro vs previous generation Pro models but my colleagues and friends who own Pro model of previous generations notice the difference in weight first hand.

Cons:

1. Apple keyboard takes some typing to get used to.
2. Notifications could be a mess if you like having notification from all apps enabled. I keep most of mine turned off so no biggie for me.
3. Simple tasks as custom ringtone, streaming music to car through Bluetooth needs work around or hacks you find on YouTube."
Sujoy Dasgupta,It could be better in battery and camera department,iPhones are becoming more competitive every year but this year a new iPhone Pro didn't last a day for me. 13 Pro and 14 Pro were better in battery department. I switched over to 15 Pro Max. Thanks to the less weight due to titanium body. This year Pro Max is the best choice or 15 Plus for budget.
I phone 15 pro natural titanium 256gb,Amazing,The phone was good but battery drains too fast .but as I listened 15 pro series having heating issues my device doesn't have.and not have any kind of bug
,You are getting what you see,"I had a iPhone 13 , and now switched to this, the main noticeable difference is the telephoto camera nothing much and the type c"
Adarsh Kunwar,Great with not so great battery,Battery doesn’t last long.
K,Bad battery life,"Battery life is not good. 14 pro and 14 plus has better battery life. Also, Heating issue is there which is irritating."
,"Ah, what to say even!!","Just got the hands on this new iP15Pro and well at the first glance it looks so classy but not as premium as old stainless steel models. Although bc of titanium body its now v light weight so kindda win win situation for me atleast. I have been using iP14PM from past 1 year now and had to say no significant difference i can notice in speed, camera and all. So final verdict If you are using old iP’s such as X,11,12 series then sure go ahead for iP15P/M but if you are using iP13,14 series then nahh dont upgrade not worth it at all. Also no heating issues I can feel in iP15Pro till now. Attached product image ;) Stay safe!!"
kriti,Fabulous is the word,"Sound quality , display, camera , video recording
, speed, response time…… top notch.
Sound quality is supreme… battery performance is good too… getting 8-9 hrs screen time with normal usages. so happy with the purchase. Hitting issue is not there at all.
I suppose, Apple has fixed it with their new release. Whatever it is money you paid is worth every penny."
AVI deOry,Excellent Gadget,Bought it for my mum. Apple does not give any space to consumers to complain. She is happy with it and finds it of utmost use!
,Just looking like a wow❤️,Just looking like a wow❤️
ravi gupta,Awesome,As Expected awesome product
Atmadeep,good,good
Abu Obaida,Waste of Money,"Getting heat while playing BGMI in just 40 days.
Waste of money."
Aniket Kakade,Perfect Pro,Heating issues is only rumours about this phone. I think after is update it is resolved
Devesh,Good,"Good product.
Thank you Amazon for your service and delivering genuine product."
,Not accepting return and replacement,"They are not accepting return or replacement, although its clearly mentioned 7 days replacement policy. They are saying you need to visit brand store. Why do I visit brand store if its eligible for replacement. Don't buy this. There are lots of heating issues.

I am going to make a consumer complaint against it.

1. Camera quality is much better in iphone 11
2. Not satified with build quality
3. Heating issues are there, even after upgrading to latest software"
Ashish,Satisfied,Amazing
Ngahon,"Great phone but not value for money especially for Indians, due to lots of import tax","Great phone but not value for money especially for Indians, due to lots of import tax"
Amazon Customer,Product damaged. Worst. Item defective.,Item was delivered with damage. Item not working as well. Very Worst experience. No proper channel to contact for assistance. No valid Apple customer care number available in replacement window. Amazon too cares nothing about this issue despite reaching them umpteen times.
Kindle Customer,100% Genuine product. go for it. Same day delivery with prime,
Amit V.,Smooth Best Performance,1St Review for 15 Pro 😍😍😍 Go for Natural titanium…… but s23 have best display then 15 pro….
