reviewer_name,review_title,review
Amazon Customer,Good one 👍,Very good product .. useful and descent look 👍
Seema Bhargava,Overall fine product,"The cover started to loose after couple of months. Not worthy completely, though the material is good."
Mukesh Saraswat,Good 👍,Good product. 👍
NRSINGH.Product are well but you have pack the milkpowder in broken and paste okay.,Samsung smart phone leather 360 d cover.,Nice product.
,OK,"I received a broken item but Amazon changed it. Thanks, Amazon"
Thokchom Anthony,Size is too small,"Size of that case is too small, not compatible for tab"
Placeholder,GREAT PRODUCT,VERY NICE PRODUCT AT RIGHT PRICE FROM AMAZON
,Good,Very good
SAPTARSHI MITRA,No issue or problem,Worthful hassle free
Yadav Umesh Singh,Tab cover,Wonderful tab cover
deepak,Good,Good
BHAWANA CHANANA,Nice,Nice cover👌👌
Aseem,Superb.. Looking luxurious... Sturdy... Worth for money.,The product is amazing with a elastic band to cover the tablet along with the cover. The blue colour cover is looking luxurious and matireal quality is just awesome for this rate. But it would be more fantastic if a provision for pen holder is provided along.
,Perfect and Roboust Quality Back Cover for Tab A,"Perfect Back / Flip cover for Galaxy Tab A 8""

Robust in design and quality

Beautiful colour design

Sturdy while holding"
GG,Tab a cover,"Colour is amazing.fit and finish is super
I am satisfied with the product"
viswajith.M.S,Pretty,The pink colour is so pretty. Go for it.
DJ Pakhuongte,Best,Best
,Not happy with quality 😕,"Jan 22 I bought it .... now it's start tearing..
Not good.. . ..."
Bharat singh,After few months,The Product is fine quality but not that good.
jyoti rauthan,have a short life,overall quality is okay
Sunita,Good quality,My daughter found it helpful for her tablet. Its helpful to watch online classes.
Ramprasath,Not bad,Good
Soumendra prasad Jana,👍,Good but cost should consider
teepu s.,Good,
,Looks elegant,Yes Value for money
M Prema Swaroop Satsangi,Good product,Value for your money
,Very nice producy,It was a very good product very worthful and suitable its very nice may this product get famous its really awesome
Placeholder,Quality not good,"The quality is really bad i feel, it is not steady, the color is coming out from certain places."
SWAPNA S. G.,Very good quality material.,Very colourful and attractive.
Roshika Thukral,Perfect buy it,like
Music Lover,Value for money!,Costs at least twice higher in the cell phone shop.
Jagadeesh,Best one,Best & suitable for the purpose
Bharat,I just used this for only one week and see how it happened,"Play Video
This is the worst item"
,totally money waste,it has very cheap quality
Kanav,Perfecto.,"Simply awesome.
Thank you"
,Love one i just love it and i had given to my sister she love it,Its nice work keep it up
Clement Rai,Price should be around ₹300.,"Average quality, quality wise price is high."
Sandeep Noniwala,It works for the price,No instructions on cleaning
Temsu Aier,Top notch,Super cool
Jyoti yadav,Value for money,Value for money
Ramprabhu.S.R,Not Worthy,Its not worthy..... It gets tearing in just 15 days of Use..... Won't Recommend..... Waste of money......
RAMLAL MEENA,"Very low quality product, please replace the same",Dislike
Kavita,It is very very very bad product don't buy it in some days it has broken,Bad product
,Quality is not good,Quality is not good
Kumar Murugesan,Colour,"Good product
Byu it
Nice but colour is dull
New look nicer but after
15 days it's colour come dull😡
I am not talking liy🙊🙊🙊🙊🙊"
Meena j.,Value for money,"Semi sturdy
Unsure in terms of durability"
Melody,"Value for mony, good",Good
shijith Kumar k,Cheap Chinese quality,Cheap Chinese quality
