reviewer_name,review_title,review
Pradip De,Very good quality and tasty apple,Very good quality and tasty apple. I got at a very good discount price.
,Good,We found it good and fresh!
Amazon Customer,Juicy and fresh,As good as what we would select and pick personally
Abhishek Thakur,Not very fresh,"For eat. Prices of the apple too much. Quality is not so good.

Prices of apple is very high. But, quality is not so good."
,Good quality apples,happy with the purchase
Nancy,good quality,fresh
KS,Good taste,Good taste
Rohit,As per expetation,Product good
VBalaji,Doesn't seem like Royal gala,Not really great
K N M Raju,Size and weight…….???,The size of the apples is so small that all the 4 count does not weigh more than 550 gms which means that you are buying a Kg worth ₹310 or more while as in the market the same thing is priced around ₹270 and you can pick and choose from the lot.
Amazon Customer,👌 value for money,👌 value for money
Raunak Bajaj,Amazon fresh really provides good quality fruits,Amazon fresh really provides good quality fruits
Prakash,Nice,Nice
Skonai,good,good in test
ALOK KRISHNA SINGH,Fresh and delicious,"Quite fresh, delicious and packed neatly."
Placeholder,Fresh vegetables,Happy with the buy..
Mohammed Ather Hussain,Super and fresh,Fresh & Tasty
Rajendra K.,सेव का आकार,Amazon और विक्रेता के लिए जिम्मेदारी से बचने का आसान उपाय 4 या 2 का पैक। कोई वजन नहीं। जबकि हर पैक का वजन भी होना चाहिये। 160 रुपये मे 4 छोटे सेव अनुमानित वजन 400 ग्राम। यानी 400 रुपये किलो। महंगा पड़ा या सस्ता। घर के पास से 1 किलो सेव 250 मे खरीदे थे।
gadhi lingappa,Apple,Good
Deepali agrval,Quality,Good
Siva,Bad,Do not buy apple. Taste is not good .
K RAMDASU,"Total weight of fruits 500g but Rate was 180 Rs, I think too cost",Too cost but fruits was fresh
Sathyaseelan,Worth for money,"Like: meets the expectations, good in taste."
Placeholder,Local apples,No quality for apple
,Good,Very fresh.
Pankaj Rana,Spoiled apples,All 4 apples were rotten. Waste of money
Kumaran,Good item,Good
OS,I don't get refund or exchange,
The apple is not good in inside and I didn't get any refund on that after at all they promised,Apple was not good,"Apple was damage and quality is not good ,,not purchase this item never"
,Sweatest of all apples,"Taste very nice and juicy, love this apples."
Avinash T.A,Apple with medicine taste,Very unhappy with purchase. This tasts kind of medicine. Don't know what kind of chemical added with this. Don't buy anyone this. Amazon fresh is ruining their name . It's not fresh.
,Good,Reached within few hours . The apples were good quality.
Shilpa,Stale apples no taste,"Happened to me more than 3 times, when I order these apples, always get small 4 ones in a pack with price not corresponding to what I paid in advance, and the apples definitely stale, not fresh. Think Amazon does not have conditions set for the sellers regarding fruits sold through their platforms. Waste of money."
J,Good,Good
Ravindra,Good deal.,Worthy value for this 🍎 apple. Also appreciate the quick delivery.
Muthukumar chennai,Good,good
Ram Avtar,Worst ever quantity,"Worst product quality, the offers on fruits and vegetables are simply selling gimmick.
All the apples were stale."
Ketan Meshram,"Worst ,dont buy","These apples looks good on the outer part when we cut it into pieces all the 4 apples got rotten inside during my purchase. Amazon fresh delivery needs some qulaity inspection before delivery. Got rotten products in coconut, onion, oranges."
Silent Killer,Delicious,Good firm apples
Amazon Customer,"Festiside liquid applied, don't buy","Don't buy, While washing this apple we can feel that oil type chemical with different smell. While eating also the peel getting smell. I am thing not to buy apples thru online"
Dr Vikas,Small Size,"Small size apples, so less in weight."
Hasiba Samad,Fresh and very good,"The apples were very fresh,better than what I bring from the market. Very pleased"
Dany,Good quality,"They come juicy, sweet and crispy. Very rarely we got one spoiled or over ripe."
KALYAN,Small size,Not worth the price... Very small size... Not fresh though... Plz dont buy... Waste of money
Tripti Mittal,Very tasty.. fresh,"Too good fresh and tasty...
I have a habit of eating apple everyday morning empty stomach....and these apples are so tasty that I can eat 2 instead of 1...
1 star less bcoz they come cold from fridge...and therefore I also need to keep them in fridge.."
Mahendra Amara,Good product,Taste is good.
Suresh Babu,Happy with this purchase,Happy with this purchase
RAJINALD VIJAY MILTON,Small in size but taste is good,Weight not mentioned. Taste & quality is perfect. Size is too small and you get four pieces whereas within the Same price outside and in other online stores you get four big pieces. In packing also it is wrongly mentioned : Weight: 4pc.
,Apple,Apples are fresh and tasty
Bhanu,Good product,Good product
