reviewer_name,review_title,review
Sachin Chavan,Immersive experience equals more reading,"I upgraded to Kindle Oasis from a previous generation Kindle Paperwhite. My first kindle was the one with keyboard, I’ve been a Kindle user for over 10 years. And the Oasis is my third Kindle.

I won’t waste time explaining e-readers or e-ink here. Those who expect a tablet should stay away. I use an iPadPro as a tablet, and still feel it worth to have a Kindle to read e-books. I’d say you should consider buying a e-reader only if you read at least 20-25 books a year.

But if you read much more than that, and can afford it, do consider the Kindle Oasis in particular. While the Paperwhite at about 60% the Oasis’s price will give you most of the features, the Oasis’s design (flat thin bezel, weight distribution, one-handed grip, page up-down buttons) along with the warm lighting and speedy processing does a magic - “the Kindle disappears”. You are left only with the book you are reading, well-immersed in it. You kind of forget that you are holding an e-reader which is between you and the book. And this is the best compliment I can give to the Kindle Oasis. If you value this immersive experience, go for the Oasis. Otherwise the PW shall suffice. Am sure those who love reading books will end up reading more on the Oasis than they did on PW for this reason.

I won’t go into explaining the above features as Amazon and other reviewers have done a good job of it. Let me only point out the only negative of the Oasis which I have deducted a point for: the battery life. I’d say it’s about one-fourth the battery life of my previous gen Paperwhite (which I guess might beat even the current gen PW). I can expect around 15-20 hrs or so of reading with a single charge on the Oasis with the Wifi on and auto-lighting. I always keep it on as I refer the dictionary and Wikipedia often as I read. You could lengthen the life by using the Airplane mode and charge once a week instead. I so wish Amazon had beefed up the Oasis’s battery a bit. But this is in no way a deal-breaker. It’s no big deal for me to put the Kindle on charging every 3-4 days when I do the same for my phone every day.

I went for the 8GB model though the 32GB was available for only Rs 3000 more. That’s because the 32GB (Wifi) is available only in Golden color and seeing the golden border around the black bezel would have been distracting and spoilt the immersive experience I get from the grey Oasis whose border merges with the bezel. This was very important to me. And it made no sense to pay Rs 6000 more for the 32GB 4G version which was in grey color. Especially as Amazon has, for some unknown reason, not allowed Audible books to be played on Kindle in India. If they do in the future, I can always listen to them on the phone app. In any case, I am more of a book reader than listener.

So that’s it. If you love books and read a lot, the Kindle Oasis can be one of the best gifts you can give yourself. Any investment you do in books pays off. But if you aren’t a prolific reader who gets lost in her books, the lesser Kindle models would suffice. Only, once you buy a top end model, stop thinking about its price and do your best to use and enjoy it to the most."
Balabr,Rebooting every time I open the device,This device reboots every time I open this …Can anyone give any solution?
Chaitanya,Good but...,"I wanted to buy a cheap e-reader. But when I saw the features of Oasis, I was blown away and ended up purchasing this from a brick and mortal store in a mall nearby. I got some cashback also because of that. I bought the magnetic cover online. I've been using it for more than 6 months now.

The greatest advantage I've with e-books is that I don't need to wait to read something. I can just buy it online and it's there instantaneously. With that said, here are my pros and cons:

Pros:
1. The e-ink display ensures that there is no annoying glare from the screen
2. The same thing ensures that you can read for hours together without straining your eyes
3. The adjustable font is a boon, if you have tough time reading smaller fonts
4. Back light ensures that I can read it in dark without switching on bed light and getting annoying looks from my wife
5. Big books (about 1000 - 1500) pages also don't take a lot of time to download, even on the slower 2.4GHz Wifi
6. Not sure if the difference is me or the goodness of Oasis, I read 27 books in the last 7 months, which is the highest I've read in my entire life
7. Unless I want a book where I want to take a lot of notes and record my thinking, like Greek tragedies, epics or Shakespearean plays, or Telugu books, I don't see myself relying on hard copies for my reading pleasure
8. If you switch off auto-brightness and wifi, and read for about an hour a day, the batter would take about 2 - 3 weeks before it goes from 100% to 1%. If you can read in daylight or under artificial light and switch off the back light, the battery stays good even more

Cons:
1. Annoying as hell reading comics. But then it's the same in any e-reader
2. The grip sometimes slips as the back is too smooth. You've to catch it in a particularly awkward way to not let it slip. The cover gives some grip because of it's texture
3. No 5GHz reception. 2.4GHz Wifi is inherently crowded and so the connection is flaky for most of the time. Good that I switch it off once I purchase/download my books
4. Auto-brightness is touch and go. It works sometimes. It doesn't work many times
5. Battery life sucks if you keep on the wifi and/or auto-brightness
6. Doesn't fit in the pocket of my jeans. But way better than carrying a book and letting everyone see what I'm reading
7. If you plan on writing notes for anything, I feel sorry for you. I have the habit of writing notes. The typing is undeniably horrible. Suddenly in middle of your typing, the device selects all of your text and if you don't notice it, the text goes away without a chance for ""undo"". Also the typing is ultra slow. It's like waiting for an electronic typewriter to print all the text that you typed in one shot, hoping that you didn't type anything wrong."
Amazon Customer,"Gone back to reading, can quit OTT now","Kindle oasis is one of the best online purchases I have made. I have always loved reading but carrying a book everywhere can sometimes be difficult, and carrying books even more so. Kindle is very light weight, easy to hold, easy to turn pages and go back and reading itself on it is pleasant experience.
Books of 500+ pages are a little difficult to hold and read past 200 pages due to thickness. No such issue with this device.
Also, I can read without the need of a light source, thereby not disturbing others in a room at night is a huge plus point for me."
SSG,A device to read,"First and foremost, this is a device to read books. So, if you are expecting fancy additions, superfast UI, and other gimmicks, this isn't for you. Yes, it is expensive but it is an expensive E-READER.

My Kindle 5 of 7+ years finally died and I needed to upgrade. But I wasn't too keen on a purely touchscreen device as I am too used to having page-turner buttons. So, even though the new PW is 'newer', I went for this one.

PROS
- Metal body - solid and premium feel, comfy to hold
- The bump - unlike most people, I actually enjoy holding the device with the bump and I use a sleeve instead of a cover. It helps me hold the Kindle for long without any fatigue.
- The page-turner buttons - Don't get me wrong, coming from a button-only Kindle, the ease of a touchscreen on Kindle feels amazing but those page-turner buttons mean that I can disable touchscreen and read without the fear of accidental touching.
- The screen - I could write a ballad on the clarity (esp after a 7+ year upgrade). The screen is just a beaut.

CONS (of course, it is not perfect)
- Battery life - While you don't need to charge it daily, the Oasis does drain faster than your average Kindle. But if you read on Flight Mode, you can definitely extend the battery life.
- Micro USB - Again, you do not have to charge it all day but you do need a micro USB. When Amazon refreshed its PW line last year, it could really have just released an updated Oasis with USB-C and/or wireless charging. For frequent travellers, it means one more cable. It is not a deal-breaker but can be annoying.
- No Bluetooth - Indian Kindles still do not have Bluetooth connectivity for Audible, so that's just a loss of feature. Again, not a deal-breaker.
- Lack of accessories in India - For some reason, there are very few third-party covers/sleeves available on Amazon for the Oasis. And among the ones that are, the good ones are too expensive while the cheap ones are just bad. (One may say that if you are spending so much on the device, might as well shell out money for the cover but meh, I am cheap)

Finally, just a general observation. Kindles should have a Pocket integration by now (Like Kobo does). While no-interruption reading is the goal, Pocket articles also count towards reading and needs to be added."
sunny,Good product but dishonest marketing,"I have migrated from physical books to tablet and finally from tablet to kindle. I found e reading to be better than physical books because of inbuilt dictionary, backlight feature, for the ability to carry your library everywhere you go, and for the ability to change font style and size. When i migrated to kindle a month ago I was reluctant to invest around 20k into this when i already had mobile and tablet, only plus point I found in kindle back then was its matte screen which makes it readable like paper in sunlight, something you can't do in tab or mobile. So i finally ordered this and man my reading speed and time has increased. Not only i can read well in sunlight but it puts considerably less strain on my eyes, i never really realised before using kindle that I'm getting tired not because of my brain capacity but because of the strain lcd display causes from a close distance. I'm very happy with the product except two things. The touchscreen is nothing like lcd screen, its slow, sometimes irresponsive and sometimes times it's response is wrong, like you're trying to highlight one line and device is wrongfully picking up the line above. As much as this is a problem, in a few days you'll get accustomed to it and it will stop bothering you. Has it been just this issue i would have given this device 5 stars but there is another problem, the battery. The battery, in my experience is just ordinary, nothing exceptional like the company tells you. I usually read for around 3 hours a day and it lasts for 2 to 2.5 days for me, and I've read for a few days without backlight, ie, with zero brightness (under tubelight or in sunlight) and I didn't notice much difference in battery backup. And I also must mention here that I always use my kindle in airplane mode. So battery is really not anything to promote in this device, its just average, worse than most mobiles and tablets of this generation. Other than that I'm very happy with the device and will most definitely recommended it to all those who read around or more than a dozen books in a year, if you read like one or two books in a year then this device won't be economical for you considering its price."
Suresh K,Paperwhite + Features = Oasis!,"There is no color in this gen was a complaint in one of the reviews, but if you see the high end phones these days have a ""reading mode"" that Eliminates the color altogether to give a monochromatic effect.
Which in my perspective is good for the eyes, after having migraines reading on my smartphone.
The cost is high, could have reduced a bit.!
The aesthetics are too good feels solid to hold on to, page orientation changes automatically when you change hands. The aluminum body feels solid, the glass display is good. LEDs power up the screen to soothe the eyes. Auto adjusted.
Physical buttons are a plus, since my mom uses the kindle and she's old gen.
The UI is quite slow, doesn't mean it's non-responsive E Ink screens are ideal for displaying black and white text, can’t display colors and have a slow refresh rate. The big benefit to an E Ink screen, is the way text appears on it. E Ink screens are advertised as “electronic paper"" they look more similar to paper than typical LCD screens do.
If you want the features of a smartphone get the phone not this E-Reader.
There is a user manual or guide in the kindle store, read before use to locate the settings. Well I didn't read instead I liked to explore around and all you have to do is click on the button that looks like a gear round in shape and says ""settings""
For a premium E-Reader kindle subscription price could have been reduced.
Will update the battery status after use supposed to last weeks after charging.
In my opinion Paperwhite is a good budget friendly version with few features cut.

Cons : For this cost you don't get a leather pouch along, or a reduced subscription fee, and could have given 3 books for free.

Update:
Cons:
So batter drains when connected to WiFi or if you use the 3G version, a quick research and found that battery are not upgraded in any E-Reader kindle or Kobo, Amazon says the kindle lasts weeks but in the disclaimer it says with a half an hour usage per day.

Pros:
The 12 LEDs power up and my eyes are never hurt these days, when using a phone they hurt.
The warm light can be adjusted.
The aesthetics and feels solid in hand comfortable.
Kindle unlimited subscription gives you a world of books.

The 2019 Paperwhite is a better choice without extra led and it's pocket friendly."
Dipayan Dasgupta,It was a great experience but,The screen got damaged and now I have to buy a new one for replacement. I apologise for my bad words. It may have happened due to magnetic cover. I will buy kindle again but not this expensive one. I LOVE KINDLE DEVICE SOOO VERY MUCH
Yesudas Gadda,Not upto my expectations,"Long back I purchased kindle 8.9 HD fire. Recently I have purchased one more. In every aspect first one was an amazing kindle device. I purchased more than 250 books. I felt great when I was reading. Kindle 8.9 HD fire gave me a wonderful feeling that I was reading great books. But present new kindle oasis 10 generation 32GB cannot be compared with the kindle 8.9HD fire. It’s not giving the feel of reading. Tablet size is not giving the feel of reading. I think serious readers may not feel comfortable if they want to read hours together. Rather than kindle device, kindle App can serve the purpose in a very good way. I expect a very good kindle device like kindle 8.9HD fire in future."
,Excellent device! Chose it over new paperwhite,"I had waited a long time for the new gen Kindle to launch and it finally did. Amazon launced 11th gen paperwhite in the last quater of 2021. Now this was competing with the Oasis on terms of the features it offered. Paperwhite is priced well and offers a massive battery advantage over all Kindle device. Add to that the USB C charging and wireless charging. So, if you were to carry your Kindle while travelling and often find yourself away from the charger for weeks together, then it is a no brainer, just go buy Kindle paperwhite 11 gen. But my requirements were different.

1. I was only interested in 8gb model. Since audible is not supported on Kindle in India, with 8gb I could store years worth of books.
2. I read mostly at home, about 1-2 hours on an avarage. So, charger type or a week long backup was not a problem to me.
3. I prefer to read mostly on bed and one handed. So buttons on the device were welcome. Also the ability to switch hands with auto rotating screen is very handy.
4. Auto brightness is a feature that I didn't want to ignore. Note: 8gb paperwhite doesn't have auto brightness.

With the above in mind I had two choices, the 11 gen 32gb paperwhite or 8 gb Oasis. At the time of buying both were priced at 17,999 INR. I decided to go with the Oasis.

The battery lasts little more than a week. I usually keep the device in airplane mode. Had no problem charging the device. Absolutely enjoying the reading experience! Not to mention the premium feel of the device and excellent ergonomics."
