reviewer_name,review_title,review
SYED JOHAR AGHA,Good laptop bag,This bag from Lenovo is a steal deal. I got it for 399/- in sale and it's totally worth the price. It's spacious with compartment and two nets to carry bottles and other accessories.
Satendra Vishwakarma,Full paisa basool,"Build quality good ,, looking very good
You can carry only 14 inch laptop ,, small size beg ,,, pocket can be more"
Hemanth,Quality durabilty,"Perfect choice for carrying laptops tablets and and accessories
,
Easy to handle and comfortable for daily life, cushion materials
Colour is good ,
Durable , good quality, available in budget."
,Good,Compact and good
Amazon Customer,"Worth It @₹499, @699","Product: Professional Bag
Writing review after using 10 months..
This is my second time to by it again with a good deal..
The laptop compartment of this bag is really legit.
You will never disappoint If you buying this bag for laptop
It has an awesome safety feature for laptop...
Never seen any bag like this under 1000 budget...
Don't think much just click to buy It....

The bag has not capacity to bring all your stuff.
You can bring a laptop, tab , and about 5 books of 400 pages.. and some small accessories. i.e. It is only made for laptop user basically in office and for college student who brings there laptop in college.
And you can bring most weighty stuffs also, It has an awesome build quality...
Really it will never disappoint you..."
Tarkeshwar Lanjewar,nice bag,"good quality, worth of money, looking very 😊"
,Quality really good but no compartments.,I prefer the bag with lots of compartments to segregate my supplies. This bag has only one large compartment without separate slots for pens or anything.
nice bag,Pretty good on first try,"I tried for first time and felt pretty good, no complaint as of right now, will review if i find any. Material also feels pretty good, and perfect size for me, laptop, charger, and a book and tiffin is enough"
,Durable but pls make it stylist,"Good product quality
Good amount of chains/compartments. Not too good looking but good to use for long time."
Harini,Worth it if get in good price,I got in less than 400₹ value for money
vaishnav,"Initially had a negative experience, but turned out to be a really good slim laptop travel bag.","This bag is perfect for traveling with a laptop. Unfortunately, I initially received a defective, torn bag, but Amazon promptly replaced it within a week.
There's just enough space for a laptop, but not much room for additional clothes or items. It's ideal for carrying a laptop to college or work.
I can comfortably fit my 16-inch laptop, laptop charger, mobile charger, keyboard, mouse, notebook, and pen.
Despite carrying all these items, it's not tightly packed, but there isn't space for anything else. The laptop compartment is snug, ensuring the laptop stays secure without shaking."
Dinesh Kumar,Most affordable & best quality,More than a month used this bag as per my review it's a descent laptop bag at this price range. For traveling purpose you can carry 3 to 4 set of clothes with laptop in this bag. Overall I will give 4 star's.
Amazon Customer,GOOD PRODUCT FOR BEST PRICE,GOOD PRODUCT FOR BEST PRICE WATCH OUT FOR IMPROPER STITCHING HERE N THERE. OTHERWISE GOOD FOR THE PRICE
Anjali Rai,I must say it is a great purchase.,"There is nothing to dislike about this product.
One of the best purchase of mine
The material and the design of the product is great, and i can't believe that i got a such an amazing product in this price.

If you are planning to buy this product, then go for it without any second thought."
Joie Shares,Good for just laptops,Design and look of the bag is classy. Good for those who want to carry their laptops.
tarun,good,"good, worth for money"
Prince Dhart,"Good, decent price","I bought this product at very decent price. At first I thought padding wouldn't be good, but when I received it it felt good. The product is totally worthy for price. You can easily carry a 15.6 inch laptop and some books too."
Aswin Unnikrishnan,good product,good quality
Vimal Kumar,Amazing bag,Affordable bag with best quality
arif,Good product,"Got it for 399 , worth it convenient for college and office use"
Siva Bharathi,supeer,supper quality bag
Dukaan Online,The only decent padded backpack,"For laptop this is EXCELLENT. Has a hidden pocket at the back, useful for passports and other documents in travel. have used one for over 3 years as a bag for daily use. Purchased another as the old one needs to be washed and wanted to buy one for stock as well."
Avinash,Good bag at 399,"I brought this bag around 399 it's really worth for that price. I am using it two months, for work purpose. It's really good if you have only one laptop to carry and simple use. It's really good for that."
akshay,AWS product,Nice product at this price
SUDHA KUMAR,excellent,"Laptop ke liye bahut badhiya hai. per school bag Nahin Hai yah, 6 months pahale liya tha accha chal raha hai original brond hai"
Good one ... For daily use,Go for it,Affordable one fr the price
8871900823,Good product,Good product
Vishnu RP,Good,Laptop space is the best in this bag. Main compartment can be a problem if you wanna carry a lot of stuff as this is a small bag. I got this at around 800.
prashanth,Good,Value for money
Placeholder,Full Paisa Vasool,Best Deal best product..
Bharti,Very nice bag. I like it very much.,👍
chanchal mandal,Price and value,Valued as it's price
Amazon Customer,Superb quality....,Nice product....
Siddiq,Most compatible bag ever,I'm really satisfied with this backpack.
Md Shahanshah Nawaz,Nice,Nice
Amazon Customer,Laptop sleevee,Laptop sleeves is not available in this bag
Ande Raja Ambedkar,Thank you,Thank you for your product and services.
Placeholder,Price worth produce,"I like this bag at this price. Special for laptops, bigger storage, good quality etc ."
Farhan Lateef,Value for money.,Excellent product
SATYA RANJAN MOHANTY,Good Product,Good Product but not much Height for Lunch box and carry some things in bag.
atul sharma,Awesome product,A perfect bag for laptop.
Nice,Good,Good
This is the best model to pick. It's stylish and unique and it's radium color to see through nights is an added advantage. I loved the total finish of this clock.,Totally worth able product,It's a total good product. I don't know whether it is water proof or not. I got this product for 400 and it is totally worthy. It is simple yet so comfortable.
Seshagiri Y,Good,Verry good quality
tirtharaj k.,Good purchase.,"Positive Point -
1. Good looking.
2. Small size.
3. Sponge is good.
4. Value for money*.

Negative Point -
1. Quality of blue clothe.
2. No rain cover."
,Good quality,Good quality and design was awsm
Tabby,Quality,Good quality
Pawan,Super,So Happy
Mohit Kumar,Quality product,The bag is really so good. It is compact and easy to carry with lots of space
Vivek,Good,Good
