reviewer_name,review_title,review
Priceless,Decently featured laptop,"This laptop is newly launched in Q4 2021 and has all the features that can enable one to work for business/ office as well as entertainment purposes.

I did a lot of research before buying this laptop for my purposes and would like to share the same with you to make your decision easier.

The key features because of which I bought the laptop are:
1. Latest Windows 11 Software
2. 512 MB SSD / 8 GB RAM
3. 15.6 inch FHD screen (would have been better with IPS display, but I was ok to compromise on this in favor of other features)
4. Lifetime free Microsoft Office (no need to purchase separately)
5. Backlit keyboard
6. Tactile and smooth keys with very little travel and less sound
7. Loud and Good Dolby Speakers, easy on the ears
8. Good battery life (one charge can last upto 6-7 hours with medium usage of speakers and display brightness)
9. AMD Ryzen 5 5500 : Very nifty and quick processor. The boot time is approx 3 secs, which is fast.

This piece is good for office, music, movies and basic data analysis and games.

Would definitely recommend to buy this laptop as it is value for money"
,Good product,Processor and handling everything good.But display only not good
MUTHUSELVAN. J,Simply Superb! One of the Best Laptop for 40k,"It's been 2 months now just wanna say it's mind blowing only disappointed with the Screen which is slight dull as it is anti glare. Rest all fine. Good for students,WFH jobs for housewives,retired ppl, children's, students. No lag while playing Games, pre installed MS available.Great performance. Upgradable RAM
As far battery power is upto 6-7 hrs .
When playing normal games 4-5 hours max.Sleek & Light weight laptop.
Comfortable Keyboard.
Great performance
Average Webcam

Cons: Dull display.

I would suggest those who are looking under 45k to buy this Laptop.
I got it for 30k with exchange.
Overall decent but go for it"
Pons. Muckatira,Good laptop.,"i.) I don't know why people are cribbing so much about the screen. The laptops which have an IPS display with a similar configuration (and 15.6"" screens) are mostly over Rs. 55000. You get what you pay for. If needing an IPS display because you're too lazy to occasionally adjust the screen is worth Rs.10000 more, be my guest. The screen and display are absolutely fine otherwise (yes, you can watch movies and everything else).

ii.) This is one of the only few models in this price range which has a backlit keyboard. If an IPS display truly matters though, you do have some Lenovo, Acer and HP laptops which are <45000. I'm not sure if they have backlit keyboards though.

iii.) The only issue I have (and this applies to all other brands) is the fact that almost all the newer laptop models have really small Up and Down arrow keys which can initially be inconvenient if you use them a lot. In the beginning, my fingers were getting cramped up due to that. It takes a bit of time to get used to them. It's completely fine once you get used to it. However, if you want standard sized arrow keys, get another model. The laptop works smoothly otherwise and is good for everyday use.

iv.) There's no point complaining that games work slowly because this is NOT a gaming laptop. You cannot buy a motorcycle and then complain that it does not fly. If you want a good gaming laptop, shell out more than 1 lakh. The onboard graphics on this is roughly as powerful as a GeForce GTX 765m SLI, a GPU that was released in 2013. If you're playing games from that era, you can play them at 1080p at high settings. Don't expect today's games to run well.

v.) I have found no problems such as poor sound quality (I use earphones most of the time), battery draining quickly etc. After cashback, I got this laptop for Rs. 43,690.5 .

vi.) The build quality isn't very strong. So, use the laptop with care. Be gentle when opening and closing the lid. Place the laptop inside a bag when not in use. Otherwise, constant rough use can damage the shell.

Edit (15-Nov-23): After a year of heavy use, the LCD cover, bezel (the strip around the monitor) and the back case got damaged. I didn't drop the laptop. Just heavy use. At first, I only saw the damage on the first two components. I registered a complaint with Lenovo online. They sent an engineer and replaced those two components under warranty (no extra charge). However, the damage on the third component is something I only observed when the engineer who came to my house for repairs showed it to me. I asked him to contact Lenovo and send the third part too but they said they won't cover it under warranty. I think if I found it the first time around they would have sent all 3 components. Anyway, overall I'm still happy for now. The back case isn't much of a problem for now once the screws are placed in. It just looks like a crack."
,Best budget,Slim and attractive design.
Nikhilesh Bhala,Worst Customer Support and Harassment!!!,"I am a loyal Amazon prime customer and frequently buy products online. Off the late Amazon's post-delivery support has become worst especially on high-value products purchase. This incident has made me lose all the trust on purchasing high-value(>20,000 INR) electronics products online. The 7-Day replacement process is totally misleading and has become a great pain. Below is the detail incident.

Amazon delivered this product ""Lenovo Ideapad-3"" on 06-JUL-2023, Thursday. After unpacking, I powered on the laptop and while going thru the initial settings, I found out that Keypad-1 on the keyboard was not working. This is clearly a hardware issue. So I went about the replacement process and was surprised to find out that first a technician from Amazon will arrive for an inspection and will try to resolve the issue. The technician did not arrive the next day and I had to reschedule again for the next day. So 2 days already lost. Finally the so called technician arrived on 09-JUL-2023, Sunday. The obvious expectation is that he will replace the non-working keypad and resolve. Instead he said he is there only for inspection of any damage and will install and run a diagnostic app which will check for software issues. This is so ridiculous given that the problem is with 1 keypad not working which is a hardware issue. The technician then took a video of the keypad not working and acknowledged the issue and left. I contacted Amazon support and they said that they were waiting for the report from technician and they will contact me after that. No one called anothe 2 days gone and I again followed up today 11-JUN-2023, Tuesday. Shockingly the Amazon support team informed me that the technician has filed a report that issue resolved which is a blatant lie. When I asked them to contact the technician, they were like as per the policy we cannot do that. I just don't understand what is the point in simply beating around the bush with this process and wasting customer's time and harassing the customer like this. Now they said they will arrange for another inspection from technician. This makes no sense as the issue is clearly with hardware. So at the time of writing its 6 days and I am sitting idle with the laptop. The whole point of ordering online is that 7 days replacement guarantee and the confidence. Instead Amazon support simply doing CUSTOMER HARASSMENT and misleading a loyal prime customer. Now I have to wait for the second so called technician to come and not sure what exactly he will do and have no idea as to when the replacement will be done. When we pay the money up-front the expectation is that service and support will work like that. Instead Amazon support is taking CUSTOMER SUPPORT FOR GRANTED.
After this incident from here-on, I believe a local retailer is far better when it comes to customer support and accountability. Should NEVER BY A HIGH VALUE PRODUCT ONLINE and 7 DAYS REPLACEMENT PROCESS FROM AMAZON IS TURNING TO A HOAX."
,Unsatisfied,"The biggest pro is its thin. The cons are too many. There is very little brightness and contrast, which means you have to come very close to the computer screen to read. The worst part is the audio quality. Even with headphones it's really disappointing. I regret buying it and will have to live with it as it cannot be returned or exchanged with another laptop. In the meantime continuing to use my old HP which even after 5 years is still good."
MUKHIA,Best buy under 50K....everything an average user needs... Unless you are a hi-fi programmer :),"These license matters a lot:Win 11,Office 2021 home n student - Heartbeat of system.

Advantage:2 yr warranty... Not 1 yr

Adapter is good... All weight at the plug point... fast charging.
Backliy keyboard.... good one. Cam quality is really good...Imp: Cam has shuuter.

Sceeen 15 inch not 15.6 inch but that is almost same.
Fingerprint sensor is not there... Don't be confused. No bag... Purchase separately.

The seller package was awesome.

Color: Arctic Grey is awesome.... You will not regret this color... better than mat or glossy black or silver.

Register your product at Lenovo site and check lenovo warranty... Mine was showing a month before purchase date.

Vishal Verma : Teacher
Purchased for online Teaching"
SHASHANK,Good for office use,Good for office work. Battery backup 3 - 4 hours no heating issue
Sudip,Maybe the best student laptop...,"For this price range, this laptop fulfill all the basic needs of a student.
It maybe miss some things like backlit keyboard and anti glare display but for this price, you get what you pay for"
