reviewer_name,review_title,review
Harish G,Sturdy and user friendly,Quality is good
Sukriti Sharma,"Perfect screen guard, perfect installation","This is the best tempered screen guard I’ve ever installed on my iPhone. Comes in great protective packing, with a useful cleaning kit that has an alcohol wipe, cloth wipe and de-dusting sticker for those pesky little dust particles. Installation instructions are useful, and there are also guiding stickers to help with alignment (though I didn’t use these). The screen guard fit the screen perfectly and the adhesive automatically spread edge-to-edge by pressing on the centre. No air bubbles, no gaps. Perfect installation and great touch sensitivity. Thank you OpenTech, keep it up, all the best! 🌟🌟🌟🌟🌟"
Amazon Customer,"No hype, its just a normal screen protector without curved edges","Screen protector looks good. Touch response is also good. But lacks in 2.5D edges as mentioned. Because of this it looks normal screen protector and not a premium screen protector. The edges are harsh to touch and price also high, which would get the same quality product around 150 rupees in offline stores."
Ankit,Bestest best Screen Guard and after service promise,"Packing: 10/10. For reaching to Screen guard you have to open two paper box cover and one foam cover. So for me best packing.
Cleaning material: 10/10. I found one wet tissue(alcohol), one dry tissue and a sticker for removing dust. I used only wet and dry tissue. They are totally able to clean the screen.
Screen Guard: 10/10. Nice curved from for side. Nice transparency.
Adhesion process: 10/10. Very very very easy. Jst remove back sheet. Place it on phone and drop it. Automatically Screen guard takes it's place. If any buble comes jst press or rub the screen with dry tissue. In my case air fully comes out.
After Service promise: This screen guard comes with 3 months warranty and life time support. The product comes with a letter of promise for life time support and 24 hrs resolve. This is very impressive.

So, in future if I buy any Screen guard I will definitely by from this brand. If I recommend any one definitely I will recommend this brand."
,"Product is good, with small issue","The product is good, only issue is, whicle talking on cell phone, when you bring the phone away from ear, the screen still remains black, you have to click on any physical button to wake up the screen (to cancel the call or to do any other operation)"
Vinay r.,Worth the money,"The order which I received was awesome but it was not sticking well at one edge but I used the warranty option ., and as promised I got an instant response from the team saying that I will receive a replacement product ., the next day itself they ordered the replacement product to me for zero cost ., thank you so much for the team in quick and customer friendly service ., You can go for this product without any doubt ., Best service and amazing quality product.,"
karthika,Good tempered glass and easy to install without any bubbles,"Good glass and it was easy to install. Infact since iphone6 is smaller in size I didn't use the guide stickers which are provided in the packing. I took out the old tempered glass and cleaned the phone properly by using anti bacterial wet wipes. Cleaned again with a tissue paper. Then only I used the wet wipe and tissue provided by the company. This way the phone got cleared from all old glue etc and the stickiness on the surface of the original glass was gone. For sticking the tempered glass, I took off the back sticker, taking care not to touch the inside or the sticky side of the tempered glass and aligned it over the phone and slowly dropped it on the phone original glass. Unlike other tempered glass this one just got stuck with minimal bubbles which when pressed to the side vanished. The whole process of sticking was easy. Infact the cleaning process is where one should take extra care because any old residue or dirt can cause bubbles. For those sticking for the first time watch youtube videos to get an idea. Overall I am really satisfied with this product."
Bobby,Worth buying,Protects screen.
,Not durable,Not even a month and the tempered glass is breaking from the corners.
Amazon Customer,Young startup,"My screen guard got cracked with in couple of days. I emailed them and they sent me a new screen guard. All they asked for was a good review on amazon if possible, as they are a young startup run by first time entrepreneurs. Thankyou very much guys, loved your product, good luck for your future endeavours."
