reviewer_name,review_title,review
Mohammed Lukmanul Hakeem sha,Awesome quality and good product.,Very comfortable cover and good quality. Recommend the Friend and family... 100% guarantee
Mohammed Farid,Great product Great value,It's a good product and perfect fit. Only the area for bottons makes it hard to press the button make it vulnerable to spoils if not taken care. Apply moderate pressure to make sure it's ok.
ARJUN,Poor quality,"Play Video
Poor quality of back side were scrolling"
Drishti,Nice hard and sturdy case! Would definitely protect the phone in a fall!,Honestly go for it this is my first time purchasing a phone case from amazon and I have to say this one is really nice. It is hard and sturdy and would definitely protect your phone! If you have a white samsung galaxy A 50 this one is for you!
Ramarao ch,Back puch not fitting properly,"Back puch not fitting properly,
Mobile phone devices big, Back puch small.
Samsung A20s model"
Aakash,Full feting cover for samsung m11 valu for money new model look good look,
,Pretty nice case at great price,The case is very premium looking and shows the colour of your phone has which generally is hidden by back cover but not the same case by this cover it's very durable and recommend to all the people.
Keshav,Value for money . Overall pretty Good,Received 2 days back. Seems to be pretty good. Feels strong. Got enough grip. Good enough for 249/-. Fitting also pretty good for A20s .
Tiss Kalapurayil,SUPER,all good
Lalitha T S,Be careful,"Some screen protectors have issues with it my old one always peeled off when I was using this
dropped my phone from 4 feet and had no issues"
Sharun,Pretty nice cover,"Pretty nice cover....
Just found 2 issue with what I received
> Fit is not that tight ( can be added as a plus easaly removable)
> Getting moisture btw phone and cover after cleaning several times"
Abdul Aziz Shaikh,Decent quality. Buttons could have been better,"Buttons are too hard to locate and press.
Other than that, the case looks amazing"
AKIL R RAJ,Very good product......good quality.,"Very good product,quality is very good ,excellent service ."
Amol,Does not fit properly,I had to cut the case for smoothly using power button.
User x.o,Low quality high price,Not well fitted from side of the mobile.. quality is not good as rate is high..Same quality can come under half of the price
Ravi kanth,Its good.,"Its good, but phone beauty not exposing clearly becoz its a glossy finish."
arka majumdar,Good but not perfect,"Overall not bad, fits well but buttons become harder to press."
Amazon Customer,Best place to find necessary things,Good quality
Amazon Customer,Good phone cover,It is a very protective phone cover.i liked it lot...material is also good.
Amazon Customer,Impressive design,"The slim design gives a good feel of the original mobile body. Initially I was hesitant if the matte back would match the glossy original back... after actually viewing it in hand, it looked good.
I wish if there would also be a choice with a transparent top & bottom, rather than black."
vijay,good quality,good quality and comfort
Anshul Jain,Good product but costly,GOOD PRODUCT BUT THIS IS ALSO AVAILABLE 90/- RS
Srinivas,Looks avarage,Its durable but look wise average
Kishore samireddy,Nice product. You can buy,Good product.good finish.
chetan dongre,Jhakaas,Nice
#####,Money worth it,Very good quality... Perfect fit for Samsung galaxy m11
K Jaheer Hussein,"Must buy ,awesome product.","What I expected I received the same, thanks to Vender & Amazon."
himanshu singh,Shockproof,If always drop your phone. So plz. Use this case. With flexible mat tempered
COMMANDO,Not good . Its also a12's cover . Not so cool . It had screech on on back side .,Not good . It had two small hole in adges that's not mentioned . Its not like that thoughts by me
Navneet Patel,Best in class,
e_ritse,Love it,Fits perfectly giving a soft matte finish look
,Samsung A50,Excellent product for Samsung A50. Fits and looks perfectly
N D.,Not good,Not a good cover see the photo s
Amazon Customer,Review of product,Very good value for money. Thanks
,Worthy buy,Really good one
Ramesh A,Best phone case,Good quality case
Koduru P.,Over priced,Price is hight and product is low
tahseen ahmed subhan,Too hard and finishing too bad.,
,Don't buy,Not fitting properly.. Doesn't suit for m20s fraud
Sudip,Not good product,Not good
Shaf Pat,Nice product,Value for money. Excellent
Saurabh Sohan Singh,Fake product.,Product is not as like mentioned on the app.
