reviewer_name,review_title,review
Sameer Khan,Disappointing experience with recurring panel issues,"Certainly! Here's a refined ver

I purchased a Samsung TV at start of 2023(55 inch a big investment for middle class folks), and within just 2.5 weeks of installation, I encountered a screen failure. Despite contacting the company, I was informed that only the panel would be replaced, which took 2 to 3 weeks to complete. Unfortunately, after 8 to 9 months, the same issue resurfaced, rendering the TV unusable once again.

While the engineer assigned to the case was sympathetic, the company continually insisted on replacing the panel rather than providing a new TV. After weeks of back-and-forth, I reluctantly accepted the panel replacement, realizing the company had no intention of offering a more satisfactory resolution.

In total, within the first 10 months of ownership, my TV was non-functional for a significant portion of time, totaling around 40 days. This experience has left me deeply dissatisfied with Samsung's customer service and overall product quality. I hope this feedback serves as a cautionary tale for potential buyer's.

Needless to say feeling trapped with the issue I had to invest in extending my warranty for another 2 to 3 years, which is a smart thing to do.

The product is great but my experience has been horrific and in constant fear when next panel issue will pop up..."
,Overall,"I'm delighted with this TV! It has great picture quality, especially for the price. The smart features are also very user-friendly and I love accessing all my favorite streaming apps easily. I would highly recommend this TV to anyone looking for a great value 4K smart TV."
Vettrivel K,Good Buy,Good Buy am very happy with the product using it in my bedroom so the sound is good for living room you will require a sound bar
Gautam,Samsung cu8570 65inch tv,"very good picture clarity,
Slim design,
But sound is okay."
,Amazing TV at a budget,"I don't use a dth/ cable and was looking for a lag free software to watch OTTs. Impressed with the performance till now. No lags, Nice angles. The OS is very minimalistic which helps. Samsung TV Plus with its host of channels is impressive. I chose Alexa for voice recognition and it works very well!"
Dileep,Nice product,Good product just voice control missing
,Very good tv screen is soft,Love you samsung
Santhosh Kumar P,Good,Good
Pkumar,Good at this price,Super display and no lag
Placeholder,Overall good,.
Sahil Rathod,A Rollercoaster Ride with Samsung TVs,"I recently took the plunge into the world of smart TVs, starting with the Samsung i Smart Cue60 model from Amazon. At first, everything seemed peachy keen, but my excitement quickly plummeted when I discovered four pesky dead pixels just a few days into the TV affair. 🙄
Kudos to Amazon's customer service, though—they swooped in with efficiency after my distress call. Despite the pixel debacle, they swiftly processed my refund, leaving me both grateful and TV-less. 🛍👏
Undeterred, I decided to give it another shot and turned to Flipkart for a second act, choosing the Samsung Cue70 model with its promising Assistant feature. Well, fate had a different script for me this time. Lo and behold, I unwrapped a used TV with questionable packaging and a rather prominent dead pixel. 😓
Frustrated with the cycle of returns, I sought advice from a tech-savvy friend who nonchalantly informed me that dead pixels are the norm in LED TVs. Armed with a two-year warranty, I decided to keep the TV, throwing caution to the wind. I even opted for an extra year of coverage, playing the long game. 🎮
Whether this gamble pays off or not is a cliffhanger in itself. As I embark on this uncertain TV journey, I feel compelled to warn potential buyers of the Cue60 and Cue70 models—brace yourselves for the dead pixel roulette; chances are, you might find yourself spinning the wheel. 🎰
For the rest of us, let's not sweat the small stuff—these are just materialistic things. Life has more important matters to offer. Here's to staying calm and embracing the uncertainties of the electronic world! Cheers to a pixel-perfect future or not. 😇🍻"
,Amazing television at this price 😍,Great TV at this price point. I'm amazed with features of this TV as well as with the remote control.
Joydeep Bhowmik,Budget deal,Not for 4k viewers and gamers
,Vr gd,Quality is very gd.. thnks
Amit,Best buy,Great purchase
tammineni asirinaidu,Good,Very good
Mohit joshi,Worth the price...,"Was not expecting this much clarity and smoothness in this budget but to my surprise samsung has done an excellent job, can definitely go for it."
Leela,Value for money,One of the most profitable purchase considering the price and how long a tv lasts.
Subhasis patra,Be ready to pay more at the time of installation,"As one would like to replace HDMI, USB,
the wall mounting that comes with in the box is a fixed mounting, which is of hardly any use.

The installation guy will bring a flexibile mounting and charge you between 2000-2500₹ for this change.
Charges at the time of reporting to Samsung are zero.
Samsung should consider providing flexible wall mounting to avoid extra expense of customer"
,Samsung TV,"Best TV Samsung products is always best Samsung is a brand which provides best product and most important service is very good.
But volume is low if volume feature more high then it was 100 percent and 5 out of 5 but it can be manageable."
Kenka bam,Good one,Remote voice command should be added. Rest are ok
Mayur c.,Good picture quality and performance also good,Overall performance is good. Picture quality is good. But sound are not better its very low.
Swadesh,Amazing product.,"I recently purchased the Samsung crustal vision 4K Smart TV, and I must say, it has exceeded my expectations in every aspect.

The only suggestion for samsung is to place the LAN port along with other ports. The current position makes it quite difficult to adjust with back wall."
,I am facing problem with the Voice Assistant-the Option is missing totally,"Sir,
After a period of 7 months, the Voice Assistant is missing from the ""General-Voice Menu"". Today (29-02-2024), I have lodged a complaint with our Local Samsung Technical Support Team."
Placeholder,Deserves 5 star,Being using since 2 months. No flaws have been detected till now. Just go for it.
Alla charansai,Samsung 108 cm (43 Inches) Crystal Vision 4K Ultra HD Smart LED TV UA43CUE70AKLXL (Titan Gray),"picture quality is good vacancy in this TV blacks are good
the remote interfaces also very easy to use best TV in 2023 in budget"
,Very good product,Good quality picture and sound quality also nice. If you play 4K videos you will enjoy it more
Pavan Kumar,Good quality best' price on Amazon,First time I get Samsung smart 4k TV good product good performance excellent display quality and sharpness no lag amazing os system
,Crystal clear TV,"Suoerb Tv.. As the name suggests, crystal clear. Sound and visual both good"
Sumeet Kumar Mishra,Excellent Visual Experience with Room for Audio Improvement,"I recently purchased the Samsung 43-inch Smart TV and have been thoroughly impressed with its stunning visual display and smart features. The crisp images and vibrant colors make every viewing experience enjoyable.

While the overall performance deserves a solid 5 stars, I must note that the sound quality is average. Although it gets the job done, audiophiles may find it lacking in depth and clarity. I recommend investing in external speakers or a soundbar to enhance the audio experience.

In summary, if you prioritize a top-notch visual display and smart functionality, this Samsung TV is an excellent choice. Just be prepared to complement it with additional audio equipment for a more immersive sound experience."
deepak,Great picture quality,"Very happy with the buy from samsung. Upgraded to samsung for the first time and like all other product of samsund, have amazing experience. It is very premium feeling compared to my oud tv. Great picture quality. And no lag at all. Very smooth installation experience from samsung."
,Good,Good but not supporting some apps to install. playboxtv app not able to install in this model.
Pattabhi,Samsung Smart TV,"Image quality and video query is superr , worth for money, for a budget best Smart TV"
Praveen,Brilliant picture quality,Sound is very low
,Excellent Tv with excellent picture quality and features,Picture quality is the TV is very good and the smart features of the TV. additional advantage is the Samsung TV plus. Very happy with the product
Yashwant,Awesome,"TV is just awesome. Controls, remote, ease of use everything is good. Remote doesn't have voice commands but thats was not needed for me. Contrast and colors are just awsome. TV speakers are above average but pair it with any external speakers and is a very good experience."
