reviewer_name,review_title,review
Placeholder,Good,Good product
9845912354,Value for money. Good picture quality,"Play Video
Clear picture quality and economic"
Amazon Customer,Value for money. Lot of features,Value for money. Loaded with features
Aparup modak,Nice picture quality,"Picture quality is very good , delivery was late but the installation service by samsung was very fast, sound quality is also good.
There are no wall mounting frame in the tv box but the installation guys give me free of cost"
,Value for money,Quality product
Manish Rokade,ഇത്തരത്തിൽ ഇനി ആർക്കും ഉണ്ടാകരുത്,
ഞാൻ വഞ്ചിക്കപെട്ടു 43 ടീവി ഓർഡറിൽ എനിക്ക് കിട്ടിയത് ഏതോ ഒരു കമ്പനിയുടെ സ്ക്രാപ്പ് പാനൽ മാത്രം ഇതു ആമസോൺ കമ്പനിയുടെ വീഴ്ച ആണെന്ന് ഞാൻ കരുതുന്നില്ല,Tv,It's good quality and delivery is also good. Best go for it.
,Good product,HD Channels are good quality but SD channels are little disappointed
snehal,Good offers,Ahaa offers
RANJIT,Aux cable connectivity is not available,We can’t connect aux cable speaker to the tv.
chand,picture,clarity
Ram singh meena,Good,Good product and good service
Sweta bandopadhyay,"Samsung 108cm (43"") Full HD smart LED TV","Rivewed in India on 10th november
Tv is superb in appearance and performance. With Adjustable brightness and connectivity to different devices. It brings a glory to the part of the house."
,I buy this tv on very affordable price,over all it is very good t
vinay kumar singh,Tv wall mount is missing,Tv wall mount stand is missing
Ghanshyam vyas,Amazing tv,Tv is beautiful with a very good picture quality ..and clear sound samsung giving me free wall mount but not in the box
,value for money,value for money and great deal given by amazon
Placeholder,Good Quality product,"I liked the product it’s has various features in it
Worth the price"
Mohd Abdul basith Rizwan,Some time hang and sound no good,Some time hang and sound no good
,Quality,Superior quality picture and video
Banke Sharma,"Hope less model, app icons are so small, being 75 plus not able to see the icons properly.","So small app icons, can't see icons properly."
Placeholder,Wall mount not received,Wall mount not received with box.delivery associate was not ready to open box for inspection
Ashish Yadav,Excellent picture quality,Sound and picture quality is good and viewing angle is also good. Only annoying thing is the remote control and it's menu function.
