reviewer_name,review_title,review
Placeholder,VFM,Good product. Decent capacity (M). Useful for small households with moderate volume of cooking
Swapan Kumar Chattopadhyay,Good product,The product is good for its quality and size.
Jayee Khane,Superb quality,I am regular buyer of it. The quality of bag is great.
Amazon Customer,Good product,Been using from past more then a year. Full value for money
Phani Kumar M V,GOOD,Purposeful and useful. I recommend the bags.
HARISH CHANDRA MAHATO,Handy,Quality and price
Srinivas Chippalkatti,Best in the catagory,"Using these since couple of years now, best product..leak proof, good quality .."
Sofiya Aarthi,Quality,Quality has been bad compared to previous materials. Don't know why.
harish chandra,Best product,Best product ever
Sathvika Ram Pabbathi,Good,Good buy on amazon
Sudip Kumar,Good quality,Good quality garbage bag
Ravi N.,Good,Goid
Lakshmi Murthy,Garbage bags using since 7 years,Excellent
Mahesh,Good,Good product
Aswin barath,Quality Product,I'm a repeat customer of this product. Good Quality. Go ahead and buy it.
Irfan Hussain Shaik,Good product,Good product very useful and easy to use
,Dustbin bags without strings,One packet provided was without strings it was such an inconvenience to collect the garbage in those bags.
Amazon Customer,Nice and good,"Well fit for my bin. Not super strong, but works well for me."
Raj.S,Ease of use,Good
Praveen,Carry bag,Cruxwxud drug and I would love the way the best of the individual to hg
Kinza,This is the best product,This products performance is great and easy to use. I've been using it from a year now! SHOULD BUY.
RAKHI MALLICK,Good product,I prefer this one
Amazon Customer,Sturdy,Been using for couple of years. It is sturdy and good.
mounika,"Ok, good",Nice
Shiva,Good,Good product
srivalli.m,Quality Good,Dustbin cover quality is very good.
Sunny sarkar,Not for heavy weight,Product is good but u can use only for approx 2 or 2.5kg trash not more then that it's not for heavy weight
PUJALA VINOD,Worth buying,This is my second order really amazing one...in terms of quality too good 👍.
Swathi,Go for it,Awesome product with thick material best to hold solid waste. Worth for money. U can purchase undoubtedly.
,Good quality,The quality and holding capacity of these bags are really good. We are really impressed with it.
sabarinathan,Good quality,Good product
Vishwanath H,Good product,Good product
Amazon Customer,Good Product,Like
K JAYARAMAN,Okey this product,Satisfied
Customer,Go for it.,Value for money.
Ravinder,Superior quality,Product quality is very good. Thicker and big in size.
SEETHALAKSHMI H,Easy use,Easy to use
Tama,Do not buy in bulk,"If this garbage bags are bought in lesser quantities like 1 pack (30 bags) or 2 packs then it is best for buyer or consumer. If you buy a 6 monthly pack or annual pack them about 30 percent of the bags are defective. Defective in the sense that some of them are fused together, some of them are very thin so tear up while some of them start leaking within a few hours of use.
So, even if Shalimar is the best brand of cost effective garbage bags out there, they tend to sneak in bad quality bags in bulk purchases."
Kanhaiya singh,Nice product,"Its a nice product to keep your garbage in one place, its also made up of good material."
Krishna,Good quality,"Compared to other bags , quality of this bag is very good and came with tie thread. Just go for it if size is sufficient"
Subhash Negi,Quality stuff,Best out of what I have used so far.
Shivangini R.,Good quality.,"Nice one. Good quality and thickness of polythins. Not yet used. You can buy this without any hesitation, because quality is good."
,Medium size dustbin bag,I have been using this Dustin bag for a long time ... The plastic is thick...
Muskaan,Does the job.,Quality of the bags are good. It also come with tread to tie one you want dispose garbage.
Hasten Fernandes,Useful,Nice
Jaya Bharath,Very Good Quality,It's a very good product. I am using it by 2nd time purchase.
Sanjay Haldar,Quality,Good quality
jessica,Nice,Good
Shwetha,Very good,Good quality
SRINIVAS REDDY MODUGU,Quality product,This product quality n durability is good
