reviewer_name,review_title,review
Mallikarjuna Swamy B M,Excellent product,Excellent product for this price range. Battery life and connectivity is good. It has minimum bloatware and there is no unwanted applications. Camera quality is good for this price. Sound quality can be little more improved. Eyecare feature seems to be very interesting which reduces our eyestrain and also beneficial to children's eyes when using the mobile. It has overall meet my expectations. Thank you Techno POP 8!!
zeenat afroz,Excellent phone value for money,This phone is exxcellent & value for money camera quality is good but bettry charging speed is little slow
BUYYANIVENKATESH AMC COLONY BHADRACHALAM,Affordable and better phone,"It's light on pocket good in hand, performance wise also good simply good mobile"
BHAVESH SHARMA,POWER PACKED SMARTPHONE FOR ENTRY LEVEL,"Design- It is very smooth in look and design. Also the phone size is compact with regular use of hands.

Camera- In this Price range camera is above average. You can take good selfies in daylight as well as Good Artificial Lighting conditions. After that if you use google camera then its super. You can edit your photos easily.

Battery- This phone is just for entry level use. If you are using it in Facebook, whatsapp, YouTube, video call. Then this Phone gives you great battery life like screen on time is approximately 5 to 6 hours.

Charging- The charger is 10 watt which takes approximately 2.5 hours from 0 to 100 percent to complete the charge.

Network- This Unisoc t606 is great to take and receive calls in 4g network. Also this processor provides 4++ carrier aggregation.

Price- Purchased it in Rs. 5012/- with bank discount.
Overall happy to purchase this Great software phone."
Ankit Chaturvedi,DECENT PHONE IN GOOD PRICE,"I received phone yesterday night

Camera average don't expect much @5850

Touch very smooth and fast

Display is very nice no issue in day light also

Voice is not 400% much louder as told but good and clear voice support

Battery backup is awesome

Sturdy body

Good memory RAM and ROM in this price range

I don't play game so not familiar with game issue

Charging speed is average not so fast but good enough

Value for money product

The best thing is that we are supporting our Indian company tecno

Vocal for local

Hope will see some another super smartphone from tecno to enhance indigenization

Thanks amazon thanks tecno"
Ankit Aggarwal,TECNO POP 8 Gravity Black: A 5-Star Marvel of Performance and Features!,"Thrilled with my purchase of the TECNO POP 8 Gravity Black! The 8GB RAM and 64GB storage deliver impressive performance and ample space for all my apps and files. The 90Hz Punch Hole Display is a visual delight, providing smooth and vibrant visuals. The 5000mAh battery ensures long-lasting use, and the 10W Type-C charging is a convenient feature.

The dual speakers with DTS offer an immersive audio experience, and the side fingerprint sensor adds an extra layer of security. The Octa-Core Processor delivers snappy performance across applications. Overall, a fantastic device that exceeds expectations. Highly recommend for those looking for a feature-packed and reliable smartphone."
Rahul sharma,Tecno pop 8,Overall good phone this price range. But ye Jo halla Macha rakha 400% louder than other phone... Aisa kuch nhi hai low volume this phone. 😮‍💨😮‍💨 Dusre phone ki Tarah hi Awaaz hai isai bhi. Mere pass Redmi note 11 hai Dual stereo speker me Uski volume Tecno pop 8 se bahut jyada Louder hai. Bus yahi kami hai baarish sab thik thaak hai.
krishna kumar,Good Mobile,"I bought this mobile for my relatives. My friends said ""don't buy it. It is not a branded"" But i bought it with self belief. This mobile is good. relatives and their colleagues also happy to see it. everyone praise for its style and look. I don't know how it works. Relative says, Phone is good and works well. Nothing is branded. Quality makes company branded. One day this company also will be a brand."
Vinay jaiswal,With dual speaker 🔊 in 6k,Great smartphone software experience is not soo good but other things are great
,Good Quality,"I purchased this phone two days ago. It was delivered as advertised and seems like good value for money. The camera, equipped with AI, is its best feature."
