reviewer_name,review_title,review
Meraz Ahmad,Good product,Nice picture quality and performance
Abhishek J.,Dont use for long hours. Buy if don't want to spend more.,"Note the difference in images of both monitors at their minimum brightness (and contrast in middle) with black image duplicated on both.

I bought This monitor (Zebronics Zeb-V16HD) to accompany my 24 inch Viewsoic 24(XG2405) Inch monitor as an additional multidisplay monitor. Zeb-V16HD LED backlight remain almost the same brightness at minimum brightness as it is at Max Brightness. The result is that the blacks are geryish and whites are piercing. I like to keep brightness low to avoid eye strain and when my eyes wander from Viewsonic to Zeb-V16HD they are strained by the blinding light of Zeb-V16HD compared to Viewsonic. While I understand that two monitors will always have different response to brightness, please see the images of both monitors at their minimum brightness with black image duplicated on both. The difference is glaring.

So I agree with what many other reviewers are saying, buy it if you want to use it for CCTV etc. But for a daily driver avoid it because what you save on this monitor will be deducted from your life as eye strain (and bad image quality because of terrible blacks) every day of your life. For better quality buy from a brand that actually makes monitors has control over their manufacturing and quality rather than a brand that just orders from a manufacturer. But of course, they will be much more expensive. However, considering the price of this monitor I consider this a good deal if you don't want to spend more.

A couple of points to note.

The Piece I received resolution of 1440 x 900 , a step above 1280 x 800. So that is a pleasant upgrade. But that may not be true for ever batch.

Another good thing is that the monitor has setting to adjust each color individually (Red Green Blue) in addition to Brightness and Contrast. So that enabled me to set display on warm side to reduce perceived eye strain.

My TataPlay HD set top box was set at 50Hz output. The monitor did not detect it. But once I changed the set top box settings to 60Hz, the monitor detected it and worked properly."
,N0. 1 WASTE MONITOR,"Pros:
1. Nice size for narrow work area. Not too much rectangle.
2. True 22 inch.

Cons:
1. The monitor is full of glare just like mirror. I bought it for work from home and on every webpage you see your image.
2. Buttons to adjust brightness or contrast located back side and super inconvenient to adjust. They would have given Joystick 🕹 like Acer is giving in its monitors.
3. First order was defective (dead pixel in screen).
4. Second order is also defective (developed screen flickering issue in just few days).

Tip: Guys, don't buy electronics from Amazon.in they will send defective item and never help you with return. Worst customer service always disconnect the calls or tranfer over and over. Very inconvenient to tell same story to another agents. Amazon will start sinking right from now. Waste customer support."
Athar,It is worth of cost,Working good mirroring with HDMI cable and light waight
,Zebronics 18-Inch Monitor ( good buy but could be better),"The Zebronics 18-inch monitor caught my attention due to its compact size and promising features.

Display Quality:

The display offers a resolution of 1366 x 768 pixels, providing clear visuals for its size. Colors appear vibrant, and the glossy panel enhances the overall viewing experience. The 18-inch size is ideal for those seeking a more compact display.

Connectivity:

With support for HDMI and VGA inputs, the monitor offers versatility in connecting to various devices. This flexibility is particularly beneficial for users with multiple devices seeking seamless integration.

Performance:

In everyday use, the monitor performs well for regular tasks like browsing, document editing, and multimedia consumption. However, users engaging in graphics-intensive activities may find its limitations.

Durability:

While the build quality is generally decent, it's essential to handle the monitor with care, as the slim design may be less forgiving to rough handling. Consider the intended usage environment to ensure longevity."
Great game,Value for money,Like to buy if I need again.
Ankur Singh,Very good,"Nice product. Value for money. Picture quality is so good.
Initially received a defective piece, but Amazon helped me to replace the product . Thank you Amazon."
,EXTREMLY BAD PRODUCT // BLACK LIST IT,VERY VERY VERY BAD PRODUCT. DID NOT WORK FOR 2 HOURS // IN PLACE OF REPLACING WE HAVE BEEN MADE TO RUN AND AKED TO WAIT FOR 5 DAYS. DOES AMZON WANTS US TO CLOSE OUR BUSINESS FOR 5 DAYS.
Tech Advice,Good Quality at this price Range,"I am using this screen from last 2 year, no issue till.
Good screen size not too small bit not too big as well.
60Ghz is enough for play 2k video"
Amazon Customer,"Worth overall, but very brighter.","The monitor is performing well since a week after delivery, no hardware issues were found, but the monitor is very bright and causes strain to eyes if continuously used. This is probably a flaw in controller firmware and brightness cannot be reduced via any operating system. Reducing brightness from built-in OSD menu (Buttons provided on monitor) does not help either.

If anyone faces this issue, one solution is to try out different combinations of brightness and contrast in the OSD menu. You can also try reducing the RGB color values. Most graphics drivers have brightness and color options. Overall, this monitor is not bad in the given price range."
Anurag. H,Decent monitor at a reasonable price,"Play Video
Let me get straight to Point.

Things to consider:
>This Monitor does not come with HDMI cable.
>Only VGA cable and Power Cable was provided.
> There is no USB port at back.
> Chromecast can be connected to HDMI port and it might work with Laptop or Mobile for screensharing.
If your Chrome cast needs Power, there is no USB port in Monitor, you might have to give power supply through Power bank or Mobile Adapter, Etc.
> For me Screen Sharing on Mobile worked fine but on Laptop i think Chromecast faced challenge.
> If you are using it as additional Monitor, It is advisable to connect using HDMI cable for clarity. As with Chromecast i could get only 30Hertz Refresh Rate and Image Quality from Mobile or Laptop was not great. Maybe if you have 4K Chromecast or Firestick it might work more efficiently.

Display Tech:
> Resolution: 1280 x 800
>Refresh Rate: I could get is max70 Hertz using HDMI and only 30 Hertz on Chromecast device, might be fine for all other work excluding Graphic Intensive task like Gaming or Video Editing where higher refresh rate is desired.

Overall:
Zebronics as a brand has created a decent product at a good price point.
If you need a monitor for some regular office work this would just work fine.
YouTube video works fine with good clarity.
I was Looking at other options, but my office had provided this and i thought screen size would not suffice but when i got it I think it just works fine as the screen size is slightly bigger than Laptop screen size so no issue of refocusing and hence no strain on eyes."
