reviewer_name,review_title,review
Pankaj Kumar,Redefining Excellence: A Review of the iPhone 13 128GB,"The iPhone 13 128GB has surpassed my expectations in every aspect, setting a new standard for smartphone excellence. From its sleek design to its powerful performance and innovative features, this device has truly redefined what it means to own a premium smartphone.

Design and Build Quality:
The iPhone 13’s design is a masterpiece of craftsmanship, featuring a sleek aluminum frame and a stunning ceramic shield front cover. The device feels incredibly premium in hand, with its compact form factor and exquisite attention to detail. The IP68 water and dust resistance provide added durability and peace of mind, making it perfect for everyday use.

Display:
The Super Retina XDR display of the iPhone 13 is nothing short of breathtaking. The 6.1-inch OLED screen delivers vibrant colors, deep blacks, and excellent brightness levels, ensuring an immersive viewing experience for everything from streaming videos to browsing the web. The True Tone technology adapts the display to ambient lighting conditions, providing a comfortable viewing experience at all times.

Performance:
Powered by the A15 Bionic chip, the iPhone 13 delivers unparalleled performance and responsiveness. Apps launch instantly, animations are buttery smooth, and multitasking is a breeze, thanks to the efficient CPU and GPU. Whether it’s gaming, productivity tasks, or content creation, this device handles everything with ease, making it a true powerhouse in the palm of your hand.

Camera:
The camera system of the iPhone 13 is a true game-changer, capturing stunning photos and videos with remarkable clarity and detail. The dual-camera setup includes a 12MP wide and ultra-wide lens, with features such as Night mode, Deep Fusion, and Smart HDR 4 elevating photography to new heights. The addition of Cinematic mode adds a cinematic touch to video recordings, allowing users to unleash their creativity like never before.

Battery Life:
Battery life on the iPhone 13 is exceptional, easily lasting a full day with heavy usage. The efficient power management of the A15 chip, coupled with software optimizations, ensures long-lasting performance without compromising on productivity or entertainment. With MagSafe charging and fast charging support, staying powered up on the go has never been easier or more convenient.

iOS Experience:
As expected, the iPhone 13 runs on the latest version of iOS, providing a seamless and intuitive user experience. iOS 15 introduces a host of new features and improvements, including Focus mode, Live Text, and enhanced privacy controls, further enhancing the overall user experience and productivity.

Conclusion:
In conclusion, the iPhone 13 128GB is a true masterpiece of innovation and excellence, delivering an unparalleled experience that is sure to delight even the most discerning smartphone users. With its stunning design, powerful performance, innovative features, and exceptional battery life, it’s not just a smartphone - it’s a lifestyle upgrade. If you’re looking for the best of the best, look no further than the iPhone 13."
vaibhav,"So Beautiful, So elegant, just looking like a wow.","I snagged the iPhone 13 during the Great Indian Festival for an unbeatable price of 45,000, and let me tell you, it's been a game-changer in every way!

Screen: The display is absolutely stunning – crisp, vibrant, and the colors pop like never before. Watching videos or scrolling through photos is a treat for the eyes. No complaints here!

Hanging: Zero issues with hanging or lagging. This phone handles multitasking like a champ. Switching between apps is smooth, and I haven't experienced any frustrating delays.

Battery: The battery life is surprisingly impressive. I can go a full day with normal usage, and it still has juice left in the tank. No more anxiously searching for a charger midday – a definite win!

Comfort: The sleek design makes it a pleasure to hold, and the phone is just the right weight. It feels premium and comfortable in my hand, making it a joy to use for extended periods.

Image Quality: The camera on the iPhone 13 is a true standout. The photos are sharp, and the night mode is a game-changer for capturing memories in low light. Selfies have never looked this good!

Color: I went for the classic Midnight color, and it's elegant and timeless. The finish adds a touch of sophistication, and it doesn't attract fingerprints like some other phones I've had in the past.

In summary, getting the iPhone 13 during the Great Indian Festival was an absolute steal. From the incredible screen to the reliable battery life and stunning camera, it's exceeded my expectations. If you're on the fence, take the plunge – you won't be disappointed."
ApTreX,Truly worth the money spent! Even if you go broke!,"My honest review after going broke buying this depreciating object.
I have been using android phones since the last 10 years and finally decided to switch to iPhone! I used to roast iPhone for its prices, lack of features and also things like power adapter not given in box etc, but my last android phone (iqoo 7 legend) had lot of software related issues and battery issues after updating it to android 12, tired of bugs and software glitches in android, I finally decided to buy a iPhone and switch from android to iOS And Boy Was I right!
I never even held an iPhone In my life before because of its price, but now I made a great choice even if I had to spend all my savings on it.

iPhone 13 is so smooth that even my IQOO 7 Legend with 120hz feels slower than it even if iPhone has only 60hz. And I can’t believe what I’m seeing, all the games/apps are so much smoother and optimised than on android.

I was very sceptical about the charging speed of an iPhone Because in Iqoo I had 66w fast charger where as for iPhone I had to buy 20w separate fast charger for 1800rs, but charging speed isn’t disappointing.

Display quality is truly flagship level and I’m quite a fan of the small 6.1 display believe it or not, being able to reach the top of display with just one hand is very helpful, Build quality is great.
I would recommend NOT to waste extra 40k for buying 13 pro. Because I don’t think having a extra camera telephoto lens is worth spending 40k.

You can see in the 3rd image attached the quality of wide angle camera pic shot on my iPhone 13, wide angle camera struggles in low light, but main camera is really good, captures true colours. Front camera is really good too, truly flagship.

Speakers are Great.

Battery life is better than my previous devices,
iOS is very optimised in terms of battery life, easy 8hrs sot on normal usage.
NOTE : While playing BGMI you loose around 2% battery every 6minutes at HD + Extreme Graphics. Which is also good. Pro Max Would Be far better in terms of battery.

For the software? Yes I feel like there are few downsides, even if the software is very smooth and has very less bugs, it has two annoying things : any game gets paused when you open control centre just to check the battery etc, Lock Screen is annoying and also having to reach the top left corner just to see notifications is also annoying, clearing all notifications is also very annoying.

But other than that a perfect 10/10 purchase. I was very disappointed at myself when I paid for the iPhone but when I received it I was truly happy that I bought it.
Truly worth it."
,Amazing Phone 🤍,"Design:
The iPhone 13 retains the iconic design of its predecessors, but with some subtle refinements. The overall construction is sleek and elegant, featuring a durable aerospace-grade aluminum frame and ceramic shield front cover for improved durability. The device is available in a range of attractive colors, catering to different aesthetic preferences.

Display:
One of the most significant upgrades is the stunning Super Retina XDR display, which offers vivid colors, deep blacks, and outstanding brightness. The improved refresh rate provides smoother scrolling and more responsive touch interactions, making it a delight to use for various tasks, from browsing the web to watching videos and playing games.

Performance:
Powered by the latest A15 Bionic chip, the iPhone 13 delivers exceptional performance across the board. The processing power ensures seamless multitasking, swift app launches, and impressive gaming capabilities. The neural engine's advancements further enhance machine learning tasks, contributing to better efficiency and smarter features.

Camera:
The iPhone 13's camera system is a standout feature, significantly raising the bar for mobile photography and videography. The dual-camera setup, comprising wide and ultra-wide lenses, captures stunning images with sharp detail, accurate colors, and improved low-light performance. The addition of Cinematic mode for video recording introduces a new level of creativity, allowing users to achieve professional-looking focus transitions and selective focus effects.

Battery Life:
The iPhone 13 boasts impressive battery life, keeping pace with the demands of modern usage. Whether you're streaming content, navigating with GPS, or engaging in video calls, the device offers extended endurance, reducing the need for frequent recharging. This improvement is a game-changer for users who rely on their smartphones throughout the day.

Connectivity:
With support for 5G networks, the iPhone 13 ensures faster download and upload speeds, enabling seamless streaming, swift downloads, and lag-free online experiences. The expanded 5G coverage allows users to stay connected in more locations, tapping into the potential of next-generation connectivity."
Faiyaz,Review after 1 month of use,"I would say I made a great desicion to switch from Android to Apple Iphone. Though the Iphone 13 released few years back but still today it can be the best choice for those who are planning to go fo Iphone.

It gives you the smooth experience without any lags and top notch performance. Talking about the camera I would say its just perfect and there are many hidden features are there to explore.

battery backup is also amazing, no heating issue battery may drop quick but not like other android phones if you run heavy games like BGMI.

Just go for it."
,Very good for the price it’s being offered for right now,"Love it! The camera quality stands out for me it’s too good, the screen is vibrant and I get one day battery backup upon minimal use. iPhone definitely has a clean and sophisticated user experience (except the notification tabs)."
Rishikumar Thakur,Using after 3 months honest review,"This is my first iPhone and it always feels good to hold this masterpiece. This looks premium not just because of its branding, it has everything which makes it feel premium. However, despite all the looks and finish, the transition from Android to Apple is not very smooth and you may constantly lack certain features that can make life easy. I was using vivo y19 Lite before this and still have that phone with me. Putting out the feature that is being missed by me-
1. Forwarding Anything in Whatsapp: Forwarding anything in Whatsapp from IPhone takes bit more step as compared to what is being offered in Android. This makes the entire process slow for an Android User
2. App Switcher: Apple could have easily made App Switcher easy with just light Swipe up, instead they made it with long pressed Swipe up. Why man, why.. You don't have any features for Swipe up, just make it easy to launch.
3. Andorid Dialer is Always Missed: Every android has a basic feature, where you can search the contact directly from Phone Dialer, here Dialer is used for Dialing Number only and it will not suggest you similar contact from contacts or last Dial. This is really bad.. If you have to Dial a number directly, use Dialer.. If you have to dial someone from Recent Call log, shift to that and if you to dial someone from contact, shift to that. Man, all this can be done under one button, under dialer. Android user will miss this very badly.
4. Sending Multiple Files in Whatsapp: If you wants to add more than 1 file directly from whatsapp, you have to do it twice. In Android, one can simple start selecting from whatspp itself and can select as many files as they wants and can send in a single click. Here for sending multiple files, you have to go to gallery or folder and select all files first and share it through whatsapp.
5. No Swipe based shifting from Chats to Status and to calls: In Android Whatsapp, you can switch between Calls, Chats and Status by just swiping, here you have to press button of each.
6. Contact Viewing: Contact list sorting method is still out of my mind. Man, make it easy. For example, if one of your contacts First Name or Middle Name or Last Name, any one of thing start with Alphabet ""A"", than it will be shown on top of the list. Apple, pls adopt any one method or at least allow us to customise it.
7. Many Apps in Android are much more refined than its version on Apple.
8. This is for those who had use Samsung Pay: Samsung Pay was one of the best app for making UPI or Card Payment, just swipe up from home screen of Samsung Phones (Only S Series) and the app is open for payment, I miss that here very badly.
9. Lack of Dual Messenger Facility: You can't use two different WhatsApp numbers here in the same phone, as supported in all android right now.

These are the issues that I face right now. Apart from this, the phone is good, the sound is loud and clear, it Feels Premium in Hand, the Touch is very good and Face ID works like a charm. Gesture control customisation is really good and you can customise a lot of things."
Deon v,Loving it!!,"Bought the iPhone 13 from Amazon and it's everything I expected and more. Sleek design, powerful performance, excellent camera, and seamless integration with other Apple devices. Fully satisfied and highly recommend it."
Jnan Shetty,Android to Apple Transition - Not a very smooth experience,"This is my first iPhone and it always feels good to hold this masterpiece. This looks premium not just because of its branding, it has everything which makes it feel premium. However, despite all the looks and finish, the transition from Android to Apple is not very smooth and you may constantly lack certain features that can make life easy. I was using Samsung S10 Lite before this and still have that phone with me. Putting out the feature that is being missed by me-
1. Forwarding Anything in Whatsapp: Forwarding anything in Whatsapp from IPhone takes bit more step as compared to what is being offered in Android. This makes the entire process slow for an Android User
2. App Switcher: Apple could have easily made App Switcher easy with just light Swipe up, instead they made it with long pressed Swipe up. Why man, why.. You don't have any features for Swipe up, just make it easy to launch.
3. Andorid Dialer is Always Missed: Every android has a basic feature, where you can search the contact directly from Phone Dialer, here Dialer is used for Dialing Number only and it will not suggest you similar contact from contacts or last Dial. This is really bad.. If you have to Dial a number directly, use Dialer.. If you have to dial someone from Recent Call log, shift to that and if you to dial someone from contact, shift to that. Man, all this can be done under one button, under dialer. Android user will miss this very badly.
4. Sending Multiple Files in Whatsapp: If you wants to add more than 1 file directly from whatsapp, you have to do it twice. In Android, one can simple start selecting from whatspp itself and can select as many files as they wants and can send in a single click. Here for sending multiple files, you have to go to gallery or folder and select all files first and share it through whatsapp.
5. No Swipe based shifting from Chats to Status and to calls: In Android Whatsapp, you can switch between Calls, Chats and Status by just swiping, here you have to press button of each.
6. Contact Viewing: Contact list sorting method is still out of my mind. Man, make it easy. For example, if one of your contacts First Name or Middle Name or Last Name, any one of thing start with Alphabet ""A"", than it will be shown on top of the list. Apple, pls adopt any one method or at least allow us to customise it.
7. Many Apps in Android are much more refined than its version on Apple.
8. This is for those who had use Samsung Pay: Samsung Pay was one of the best app for making UPI or Card Payment, just swipe up from home screen of Samsung Phones (Only S Series) and the app is open for payment, I miss that here very badly.
9. Lack of Dual Messenger Facility: You can't use two different WhatsApp numbers here in the same phone, as supported in all android right now.

These are the issues that I face right now. Apart from this, the phone is good, the sound is loud and clear, it Feels Premium in Hand, the Touch is very good and Face ID works like a charm. Gesture control customization is really good and you can customize a lot of things."
TANI PARTNER,iPhone 13 (BLUE),"iPhone 13 is like wow , I have updated from my iPhone SE 2020 to 13 and then I’m feeling like wonderful.the phone camera is 4.5 out of 5 .
Multitasking is very easy and thanks to Amazon for secure packaging."
